loopIteration,time (us),axisRate[0],axisRate[1],axisRate[2],axisP[0],axisP[1],axisP[2],axisI[0],axisI[1],axisI[2],axisD[0],axisD[1],axisF[0],axisF[1],axisF[2],rcCommand[0],rcCommand[1],rcCommand[2],rcCommand[3],vbat (V),BaroAlt (cm),rssi,gyroADC[0],gyroADC[1],gyroADC[2],accSmooth[0],accSmooth[1],accSmooth[2],accVib,servo[0],servo[1],navState,navFlags,activeWpNumber,flightModeFlags (flags),activeFlightModeFlags,stateFlags (flags),failsafePhase (flags),rxSignalReceived,rxFlightChannelsValid,rxUpdateRate,hwHealthStatus,powerSupplyImpedance,sagCompensatedVBat,wind[0],wind[1],wind[2],mspOverrideFlags,IMUTemperature,baroTemperature,sens0Temp,sens1Temp,sens2Temp,sens3Temp,sens4Temp,sens5Temp,sens6Temp,sens7Temp,escRPM,escTemperature
0,60632506,18,9,0,8,4,-1,0,0,0,0,0,29,21,0,0,0,0,1050,12.540,-110,1023,0,0,2,129,-168,2064,29,1488,1438,26,37,1,ARM|MANUAL,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,126,341,0,0,0,0,0,1,399,411,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
4,60634546,18,9,0,8,4,-1,0,0,0,0,0,29,21,0,0,0,0,1050,12.540,-110,1023,0,0,2,129,-168,2064,29,1488,1438,26,37,1,ARM|MANUAL,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,121,341,0,0,0,0,0,1,399,411,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
8,60636606,18,9,0,8,4,-1,0,0,0,0,0,29,21,0,0,0,0,1050,12.540,-110,1023,0,0,2,129,-168,2064,29,1488,1438,26,37,1,ARM|MANUAL,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,121,341,0,0,0,0,0,1,399,411,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
12,60638664,18,9,0,8,4,-1,0,0,0,0,0,29,21,0,0,0,0,1050,12.540,-110,1023,0,0,2,130,-168,2064,29,1488,1438,26,37,1,ARM|MANUAL,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,121,341,0,0,0,0,0,1,399,411,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
16,60640749,18,9,0,8,4,-1,0,0,0,0,0,29,21,0,0,0,0,1050,12.540,-110,1023,0,0,2,130,-167,2065,28,1488,1438,26,37,1,ARM|MANUAL,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,121,341,0,0,0,0,0,1,399,411,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
20,60642864,18,9,0,8,4,0,0,0,0,0,0,29,21,0,0,0,0,1050,12.540,-110,1023,0,0,2,130,-167,2065,28,1488,1438,26,37,1,ARM|MANUAL,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,175,341,0,0,0,0,0,1,400,411,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
24,60644901,18,9,0,8,4,0,0,0,0,0,0,29,21,0,0,0,0,1050,12.540,-110,1023,0,0,2,131,-167,2064,28,1488,1438,26,37,1,ARM|MANUAL,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,175,341,0,0,0,0,0,1,400,411,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
28,60646999,18,9,0,8,4,0,0,0,0,0,0,29,21,0,0,0,0,1050,12.540,-110,1023,0,0,2,131,-166,2064,28,1488,1438,26,37,1,ARM|MANUAL,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,175,341,0,0,0,0,0,1,400,411,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
32,60649116,18,9,0,8,4,0,0,0,0,0,0,29,21,0,0,0,0,1050,12.540,-110,1023,0,0,2,131,-165,2064,28,1488,1438,26,37,1,ARM|MANUAL,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,175,341,0,0,0,0,0,1,400,411,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
36,60651157,18,9,0,8,4,0,0,0,0,0,0,29,21,0,0,0,0,1050,12.540,-110,1023,0,0,2,131,-165,2065,28,1488,1438,26,37,1,ARM|MANUAL,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,175,341,0,0,0,0,0,1,400,411,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
40,60653232,18,9,0,8,4,0,0,0,0,0,0,29,21,0,0,0,0,1050,12.540,-110,1023,0,0,2,130,-165,2066,28,1488,1438,26,37,1,ARM|MANUAL,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,175,341,0,0,0,0,0,1,400,411,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
44,60655308,18,9,0,8,4,0,0,0,0,0,0,29,21,0,0,0,0,1050,12.540,-110,1023,0,0,1,130,-164,2067,28,1487,1437,26,37,1,ARM|MANUAL,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,175,341,0,0,0,0,0,1,400,411,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
48,60657383,18,9,0,8,4,0,0,0,0,0,0,29,21,0,0,0,0,1050,12.540,-110,1023,0,0,2,130,-164,2067,27,1487,1437,26,37,1,ARM|MANUAL,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,175,341,0,0,0,0,0,1,400,411,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
52,60659664,18,9,0,8,4,0,0,0,0,0,0,29,21,0,0,0,0,1050,12.540,-110,1023,0,0,1,129,-164,2067,27,1487,1437,26,37,1,ARM|MANUAL,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,125,341,0,0,0,0,0,1,400,411,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
56,60661693,18,9,0,8,4,0,0,0,0,0,0,29,21,0,0,0,0,1050,12.540,-110,1023,0,0,1,129,-165,2067,27,1487,1437,26,37,1,ARM|MANUAL,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,175,341,0,0,0,0,0,1,400,411,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
