loopIteration,time (us),axisRate[0],axisRate[1],axisRate[2],axisP[0],axisP[1],axisP[2],axisI[0],axisI[1],axisI[2],axisD[0],axisD[1],axisF[0],axisF[1],axisF[2],rcCommand[0],rcCommand[1],rcCommand[2],rcCommand[3],vbat (V),BaroAlt (cm),rssi,gyroADC[0],gyroADC[1],gyroADC[2],accSmooth[0],accSmooth[1],accSmooth[2],accVib,servo[0],servo[1],navState,navFlags,activeWpNumber,flightModeFlags (flags),activeFlightModeFlags,stateFlags (flags),failsafePhase (flags),rxSignalReceived,rxFlightChannelsValid,rxUpdateRate,hwHealthStatus,powerSupplyImpedance,sagCompensatedVBat,wind[0],wind[1],wind[2],mspOverrideFlags,IMUTemperature,baroTemperature,sens0Temp,sens1Temp,sens2Temp,sens3Temp,sens4Temp,sens5Temp,sens6Temp,sens7Temp,escRPM,escTemperature
60,60663768,18,9,0,8,4,0,0,0,0,0,0,29,21,0,0,0,0,1050,12.540,-110,1023,0,0,1,129,-166,2066,27,1487,1437,26,37,1,ARM|MANUAL,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,175,341,0,0,0,0,0,1,400,411,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
64,60665845,18,9,0,8,4,0,0,0,0,0,0,29,21,0,0,0,0,1050,12.540,-110,1023,0,0,1,129,-167,2065,27,1487,1437,26,37,1,ARM|MANUAL,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,175,341,0,0,0,0,0,1,400,411,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
68,60667931,18,9,0,8,4,0,0,0,0,0,0,29,21,0,0,0,0,1050,12.540,-110,1023,0,0,1,129,-168,2065,27,1487,1437,26,37,1,ARM|MANUAL,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,175,341,0,0,0,0,0,1,400,411,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
72,60670035,18,9,0,8,4,0,0,0,0,0,0,29,21,0,0,0,0,1050,12.540,-110,1023,0,0,1,129,-169,2066,26,1487,1437,26,37,1,ARM|MANUAL,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,175,341,0,0,0,0,0,1,400,411,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
76,60672125,18,9,0,8,4,0,0,0,0,0,0,29,21,0,0,0,0,1050,12.540,-110,1023,0,0,1,129,-169,2066,26,1488,1436,26,37,1,ARM|MANUAL,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,175,341,0,0,0,0,0,1,400,411,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
80,60674190,18,9,0,8,4,0,0,0,0,0,0,29,21,0,0,0,0,1050,12.540,-110,1023,0,0,1,129,-169,2067,26,1488,1436,26,37,1,ARM|MANUAL,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,175,341,0,0,0,0,0,1,400,411,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
84,60676307,18,9,0,8,4,0,0,0,0,0,0,29,21,0,0,0,0,1050,12.540,-110,1023,0,0,1,129,-169,2067,26,1488,1436,26,37,1,ARM|MANUAL,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,175,341,0,0,0,0,0,1,400,411,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
88,60678415,18,9,0,8,4,0,0,0,0,0,0,29,21,0,0,0,0,1050,12.540,-110,1023,0,0,1,129,-169,2067,26,1488,1436,26,37,1,ARM|MANUAL,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,175,341,0,0,0,0,0,1,400,411,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
92,60680484,18,9,0,8,4,0,0,0,0,0,0,29,21,0,0,0,0,1050,12.540,-110,1023,0,0,2,128,-169,2068,25,1488,1436,26,37,1,ARM|MANUAL,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,125,341,0,0,0,0,0,1,400,411,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
96,60682646,18,9,0,8,4,0,0,0,0,0,0,29,21,0,0,0,0,1050,12.540,-110,1023,0,0,2,129,-168,2068,25,1488,1436,26,37,1,ARM|MANUAL,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,125,341,0,0,0,0,0,1,400,411,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
100,60684837,18,9,0,8,4,0,0,0,0,0,0,29,21,0,0,0,0,1050,12.540,-110,1023,0,0,2,129,-168,2068,25,1488,1436,26,37,1,ARM|MANUAL,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,125,341,0,0,0,0,0,1,400,411,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
104,60686913,18,9,0,8,4,0,0,0,0,0,0,29,21,0,0,0,0,1050,12.540,-110,1023,0,0,2,129,-168,2067,25,1488,1436,26,37,1,ARM|MANUAL,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,125,341,0,0,0,0,0,1,400,411,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
108,60688970,18,9,0,8,4,0,0,0,0,0,0,29,21,0,0,0,0,1050,12.540,-110,1023,0,0,2,129,-167,2067,25,1488,1436,26,37,1,ARM|MANUAL,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,125,341,0,0,0,0,0,1,400,411,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
112,60691046,18,9,0,8,4,0,0,0,0,0,0,29,21,0,0,0,0,1050,12.540,-110,1023,0,0,1,128,-167,2066,25,1488,1436,26,37,1,ARM|MANUAL,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,125,341,0,0,0,0,0,1,400,411,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
116,60693127,18,9,0,8,4,0,0,0,0,0,0,29,21,0,0,0,0,1050,12.540,-110,1023,0,0,1,128,-167,2066,25,1488,1436,26,37,1,ARM|MANUAL,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,125,341,0,0,0,0,0,1,400,411,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
120,60695207,18,9,0,8,4,0,0,0,0,0,0,29,21,0,0,0,0,1050,12.540,-110,1023,0,0,2,128,-167,2067,25,1488,1436,26,37,1,ARM|MANUAL,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,125,341,0,0,0,0,0,1,400,411,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
124,60697427,18,9,0,8,4,0,0,0,0,0,0,29,21,0,0,0,0,1050,12.540,-110,1023,0,0,1,128,-167,2067,24,1488,1436,26,37,1,ARM|MANUAL,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,125,341,0,0,0,0,0,1,400,411,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
128,60699502,18,9,0,8,4,0,0,0,0,0,0,29,21,0,0,0,0,1050,12.540,-110,1023,0,0,2,127,-167,2068,24,1488,1436,26,37,1,ARM|MANUAL,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,125,341,0,0,0,0,0,1,400,411,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
132,60701560,18,9,0,8,4,0,0,0,0,0,0,29,21,0,0,0,0,1050,12.540,-110,1023,0,0,2,127,-167,2069,24,1488,1436,26,37,1,ARM|MANUAL,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,125,341,0,0,0,0,0,1,400,411,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
136,60703671,18,9,0,8,4,0,0,0,0,0,0,29,21,0,0,0,0,1050,12.540,-110,1023,0,0,2,127,-167,2068,24,1488,1436,26,37,1,ARM|MANUAL,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,125,341,0,0,0,0,0,1,400,411,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
140,60705758,18,9,0,8,4,0,0,0,0,0,0,29,21,0,0,0,0,1050,12.540,-110,1023,0,0,2,127,-166,2068,24,1488,1436,26,37,1,ARM|MANUAL,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,125,341,0,0,0,0,0,1,400,411,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
144,60707816,18,9,0,8,4,0,0,0,0,0,0,29,21,0,0,0,0,1050,12.540,-110,1023,0,0,2,127,-166,2067,24,1488,1436,26,37,1,ARM|MANUAL,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,125,341,0,0,0,0,0,1,400,411,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
