time (us),GPS_fixType,GPS_numSat,GPS_coord[0],GPS_coord[1],GPS_altitude,GPS_speed (m/s),GPS_ground_course,GPS_hdop,GPS_eph,GPS_epv,GPS_velned[0],GPS_velned[1],GPS_velned[2],GPS_home_lat,GPS_home_lon
68001042,2,8,37.4117138,-121.9947197,-1,0.03,28.7,198,160,268,-3,-1,-38,37.4117162,-121.9947208
68008900,2,8,37.4117138,-121.9947197,-1,0.03,28.7,198,160,268,-3,-1,-38,37.4117162,-121.9947208
68052528,2,8,37.4117138,-121.9947198,-1,0.06,28.7,198,160,268,-3,-4,-27,37.4117162,-121.9947208
68153504,2,8,37.4117137,-121.9947198,-1,0.04,28.7,198,160,268,-3,2,-33,37.4117162,-121.9947208
68234418,2,8,37.4117136,-121.9947198,-1,0.05,28.7,198,160,268,3,3,-41,37.4117162,-121.9947208
68435382,2,8,37.4117135,-121.9947198,-1,0.05,28.7,198,160,268,1,-5,-38,37.4117162,-121.9947208
68536622,2,8,37.4117135,-121.9947199,-1,0.01,28.7,198,160,268,0,-1,-35,37.4117162,-121.9947208
68637418,2,8,37.4117134,-121.9947200,-1,0.02,28.7,198,160,268,0,-2,-29,37.4117162,-121.9947208
68737946,2,8,37.4117133,-121.9947202,-1,0.10,28.7,198,160,268,-4,-8,-36,37.4117162,-121.9947208
68838677,2,8,37.4117133,-121.9947203,-1,0.06,28.7,198,160,268,6,2,-26,37.4117162,-121.9947208
69040337,2,8,37.4117133,-121.9947204,-1,0.13,28.7,198,160,268,13,1,-35,37.4117162,-121.9947208
69140965,2,8,37.4117132,-121.9947205,-1,0.06,28.7,198,160,268,-5,-3,-34,37.4117162,-121.9947208
69241828,2,8,37.4117131,-121.9947205,-1,0.08,28.7,198,160,268,-1,8,-36,37.4117162,-121.9947208
69342484,2,8,37.4117130,-121.9947205,-1,0.06,28.7,198,160,268,-5,-3,-36,37.4117162,-121.9947208
69443422,2,8,37.4117130,-121.9947206,-1,0.02,28.7,198,160,268,2,-1,-39,37.4117162,-121.9947208
69544371,2,8,37.4117129,-121.9947207,-1,0.06,28.7,198,160,268,2,-6,-37,37.4117162,-121.9947208
69645513,2,8,37.4117129,-121.9947209,-1,0.02,28.7,198,160,268,-1,-2,-34,37.4117162,-121.9947208
69847876,2,8,37.4117129,-121.9947210,-1,0.10,28.7,198,160,268,10,-1,-45,37.4117162,-121.9947208
69948627,2,8,37.4117129,-121.9947211,-1,0.01,28.7,198,160,268,-1,-1,-39,37.4117162,-121.9947208
70049084,2,8,37.4117128,-121.9947212,-1,0.03,28.7,198,160,268,0,-3,-26,37.4117162,-121.9947208
70144741,2,8,37.4117128,-121.9947212,-1,0.03,28.7,198,160,268,0,-3,-26,37.4117162,-121.9947208
70149971,2,8,37.4117129,-121.9947213,-1,0.11,28.7,198,160,268,9,-5,-30,37.4117162,-121.9947208
70251125,2,8,37.4117128,-121.9947214,-1,0.01,28.7,198,160,268,0,0,-32,37.4117162,-121.9947208
70432550,2,8,37.4117128,-121.9947215,-1,0.04,28.7,198,160,269,3,-3,-40,37.4117162,-121.9947208
70634220,2,8,37.4117127,-121.9947215,-1,0.07,28.7,198,160,269,-7,1,-40,37.4117162,-121.9947208
70735466,2,8,37.4117127,-121.9947216,-1,0.07,28.7,198,160,269,3,-6,-41,37.4117162,-121.9947208
70836034,2,8,37.4117126,-121.9947216,-1,0.04,28.7,198,160,269,-4,0,-55,37.4117162,-121.9947208
70937137,2,8,37.4117125,-121.9947216,-1,0.12,28.7,198,160,269,-4,-11,-45,37.4117162,-121.9947208
71038274,2,8,37.4117124,-121.9947217,-1,0.12,28.7,198,160,269,-9,-8,-36,37.4117162,-121.9947208
71139349,2,8,37.4117123,-121.9947217,-1,0.13,28.7,198,160,269,-12,-5,-40,37.4117162,-121.9947208
71240011,2,8,37.4117122,-121.9947217,-1,0.07,28.7,198,160,270,-6,-3,-37,37.4117162,-121.9947208
71340180,2,8,37.4117123,-121.9947217,-1,0.13,28.7,198,160,270,12,4,-43,37.4117162,-121.9947208
71440650,2,8,37.4117125,-121.9947216,-1,0.24,28.7,198,160,270,20,13,-46,37.4117162,-121.9947208
71540910,2,8,37.4117126,-121.9947215,-1,0.11,28.7,198,160,270,10,1,-50,37.4117162,-121.9947208
71641587,2,8,37.4117126,-121.9947214,-1,0.15,28.7,198,160,270,12,9,-49,37.4117162,-121.9947208
71742429,2,8,37.4117127,-121.9947215,-1,0.16,28.7,198,160,270,15,-2,-42,37.4117162,-121.9947208
72144528,2,8,37.4117128,-121.9947215,-1,0.12,28.7,198,161,271,10,7,-49,37.4117162,-121.9947208
72265411,2,8,37.4117128,-121.9947215,0,0.08,28.7,198,161,271,7,3,-46,37.4117162,-121.9947208
