loopIteration,time (us),axisRate[0],axisRate[1],axisRate[2],axisP[0],axisP[1],axisP[2],axisI[0],axisI[1],axisI[2],axisD[0],axisD[1],axisF[0],axisF[1],axisF[2],rcCommand[0],rcCommand[1],rcCommand[2],rcCommand[3],vbat (V),BaroAlt (cm),rssi,gyroADC[0],gyroADC[1],gyroADC[2],accSmooth[0],accSmooth[1],accSmooth[2],accVib,servo[0],servo[1],navState,navFlags,activeWpNumber,flightModeFlags (flags),activeFlightModeFlags,stateFlags (flags),failsafePhase (flags),rxSignalReceived,rxFlightChannelsValid,rxUpdateRate,hwHealthStatus,powerSupplyImpedance,sagCompensatedVBat,wind[0],wind[1],wind[2],mspOverrideFlags,IMUTemperature,baroTemperature,sens0Temp,sens1Temp,sens2Temp,sens3Temp,sens4Temp,sens5Temp,sens6Temp,sens7Temp,escRPM,escTemperature
40,68021343,17,9,0,8,4,0,0,0,0,0,0,28,22,0,0,0,0,1050,12.540,-127,1023,0,0,2,132,-172,2066,62,1490,1438,26,37,1,ARM,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,115,341,0,0,0,0,0,1,407,420,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
44,68023367,17,9,0,8,4,0,0,0,0,0,0,28,22,0,0,0,0,1050,12.540,-127,1023,0,0,2,132,-171,2065,61,1490,1438,26,37,1,ARM,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,115,341,0,0,0,0,0,1,407,420,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
48,68025414,17,9,0,8,4,0,0,0,0,0,0,28,22,0,0,0,0,1050,12.540,-127,1023,0,0,2,132,-170,2064,61,1490,1438,26,37,1,ARM,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,114,341,0,0,0,0,0,1,407,420,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
52,68027446,17,9,0,8,4,0,0,0,0,0,0,28,22,0,0,0,0,1050,12.540,-127,1023,0,0,1,132,-169,2064,60,1490,1438,26,37,1,ARM,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,114,341,0,0,0,0,0,1,407,420,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
56,68029523,17,9,0,8,4,0,0,0,0,0,0,28,22,0,0,0,0,1050,12.540,-127,1023,0,0,1,131,-169,2064,59,1490,1438,26,37,1,ARM,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,114,341,0,0,0,0,0,1,407,420,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
60,68031613,17,9,0,8,4,0,0,0,0,0,0,28,22,0,0,0,0,1050,12.540,-127,1023,0,0,1,131,-168,2064,58,1490,1438,26,37,1,ARM,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,114,341,0,0,0,0,0,1,407,420,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
64,68033717,17,9,0,8,4,0,0,0,0,0,0,28,22,0,0,0,0,1050,12.540,-127,1023,0,0,1,131,-168,2065,58,1490,1438,26,37,1,ARM,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,114,341,0,0,0,0,0,1,407,420,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
68,68035771,17,9,0,8,4,0,0,0,0,0,0,28,22,0,0,0,0,1050,12.540,-127,1023,0,0,1,131,-168,2065,57,1490,1438,26,37,1,ARM,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,114,341,0,0,0,0,0,1,407,420,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
72,68037848,17,9,0,8,4,0,0,0,0,0,0,28,22,0,0,0,0,1050,12.540,-127,1023,0,0,2,131,-167,2066,56,1490,1438,26,37,1,ARM,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,114,341,0,0,0,0,0,1,407,420,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
76,68039957,17,9,0,8,4,0,0,0,0,0,0,28,22,0,0,0,0,1050,12.540,-127,1023,0,0,2,131,-167,2067,56,1490,1438,26,37,1,ARM,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,114,341,0,0,0,0,0,1,407,420,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
