time (us),GPS_fixType,GPS_numSat,GPS_coord[0],GPS_coord[1],GPS_altitude,GPS_speed (m/s),GPS_ground_course,GPS_hdop,GPS_eph,GPS_epv,GPS_velned[0],GPS_velned[1],GPS_velned[2],GPS_home_lat,GPS_home_lon
60633002,2,8,37.4117155,-121.9947204,-2,0.08,0.0,198,165,270,8,-2,-52,37.4117162,-121.9947208
60640749,2,8,37.4117155,-121.9947204,-2,0.02,0.0,198,165,270,-2,0,-42,37.4117162,-121.9947208
60843324,2,8,37.4117154,-121.9947205,-2,0.05,0.0,198,165,270,-4,-2,-49,37.4117162,-121.9947208
60944274,2,8,37.4117154,-121.9947206,-2,0.09,0.0,198,165,270,0,-9,-47,37.4117162,-121.9947208
61045658,2,8,37.4117153,-121.9947207,-2,0.09,0.0,198,165,270,-9,2,-46,37.4117162,-121.9947208
61247166,2,8,37.4117153,-121.9947208,-2,0.05,0.0,198,165,270,0,-5,-42,37.4117162,-121.9947208
61348288,2,8,37.4117151,-121.9947209,-2,0.20,0.0,198,165,270,-18,-9,-33,37.4117162,-121.9947208
61651603,2,8,37.4117151,-121.9947210,-2,0.03,0.0,198,164,269,-1,-3,-36,37.4117162,-121.9947208
61852618,2,8,37.4117150,-121.9947211,-2,0.08,0.0,198,164,269,-5,-6,-31,37.4117162,-121.9947208
62054501,2,8,37.4117149,-121.9947212,-2,0.12,0.0,198,164,269,-4,-11,-32,37.4117162,-121.9947208
62154773,2,8,37.4117149,-121.9947213,-2,0.07,0.0,198,164,269,5,-5,-33,37.4117162,-121.9947208
62356253,2,8,37.4117149,-121.9947212,-2,0.04,0.0,198,164,269,3,2,-34,37.4117162,-121.9947208
62557340,2,8,37.4117148,-121.9947211,-2,0.05,0.0,198,164,269,0,5,-30,37.4117162,-121.9947208
62657960,2,8,37.4117148,-121.9947212,-2,0.05,0.0,198,164,270,-3,-4,-26,37.4117162,-121.9947208
62738844,2,8,37.4117148,-121.9947211,-2,0.13,0.0,198,164,269,12,3,-31,37.4117162,-121.9947208
62780031,2,8,37.4117148,-121.9947211,-2,0.13,0.0,198,164,269,12,3,-31,37.4117162,-121.9947208
62840144,2,8,37.4117147,-121.9947212,-2,0.07,0.0,198,164,269,-5,-5,-26,37.4117162,-121.9947208
62940934,2,8,37.4117146,-121.9947212,-2,0.11,0.0,198,164,270,-10,-4,-37,37.4117162,-121.9947208
63041400,2,8,37.4117144,-121.9947213,-2,0.09,0.0,198,164,269,-4,-7,-37,37.4117162,-121.9947208
63142589,2,8,37.4117145,-121.9947213,-2,0.06,0.0,198,164,270,5,2,-26,37.4117162,-121.9947208
63243356,2,8,37.4117143,-121.9947213,-2,0.10,0.0,198,164,270,-7,-6,-40,37.4117162,-121.9947208
63445636,2,8,37.4117142,-121.9947213,-2,0.03,0.0,198,164,270,-2,-2,-25,37.4117162,-121.9947208
63747339,2,8,37.4117141,-121.9947212,-2,0.05,0.0,198,164,270,-4,2,-36,37.4117162,-121.9947208
