time (us),GPS_fixType,GPS_numSat,GPS_coord[0],GPS_coord[1],GPS_altitude,GPS_speed (m/s),GPS_ground_course,GPS_hdop,GPS_eph,GPS_epv,GPS_velned[0],GPS_velned[1],GPS_velned[2],GPS_home_lat,GPS_home_lon
158210608,2,8,37.4117724,-121.9948450,1,0.04,54.5,214,185,318,-3,3,-40,37.4117743,-121.9948443
158218537,2,8,37.4117724,-121.9948450,1,0.04,54.5,214,185,318,-3,3,-40,37.4117743,-121.9948443
158279561,2,8,37.4117723,-121.9948450,1,0.09,54.5,214,185,318,-6,-6,-32,37.4117743,-121.9948443
158380180,2,8,37.4117721,-121.9948451,1,0.12,54.5,214,186,318,-10,-6,-29,37.4117743,-121.9948443
158480785,2,8,37.4117719,-121.9948452,1,0.15,54.5,214,186,319,-10,-11,-21,37.4117743,-121.9948443
158580894,2,8,37.4117715,-121.9948454,2,0.21,54.5,214,186,319,-13,-17,-26,37.4117743,-121.9948443
158680999,2,8,37.4117713,-121.9948456,2,0.13,54.5,214,186,319,-10,-8,-24,37.4117743,-121.9948443
158782702,2,8,37.4117710,-121.9948457,2,0.11,54.5,214,187,319,3,-11,-43,37.4117743,-121.9948443
158863707,2,8,37.4117707,-121.9948459,2,0.05,54.5,214,187,320,-3,-4,-38,37.4117743,-121.9948443
158964074,2,8,37.4117704,-121.9948461,2,0.12,54.5,214,187,320,-9,-8,-36,37.4117743,-121.9948443
159064513,2,8,37.4117702,-121.9948461,2,0.12,54.5,214,187,320,-8,-8,-29,37.4117743,-121.9948443
159165879,2,8,37.4117699,-121.9948462,2,0.14,54.5,214,188,320,-14,-1,-24,37.4117743,-121.9948443
159266511,2,8,37.4117697,-121.9948462,2,0.08,54.5,214,188,321,-8,-2,-19,37.4117743,-121.9948443
159366832,2,8,37.4117693,-121.9948463,2,0.15,54.5,214,188,321,-10,-11,-24,37.4117743,-121.9948443
159467473,2,8,37.4117690,-121.9948464,2,0.26,54.5,214,188,321,-12,-23,-34,37.4117743,-121.9948443
159568497,2,8,37.4117685,-121.9948466,2,0.32,54.5,214,189,322,-29,-13,-29,37.4117743,-121.9948443
159669182,2,8,37.4117680,-121.9948469,2,0.35,54.5,214,189,322,-29,-19,-30,37.4117743,-121.9948443
159770530,2,8,37.4117675,-121.9948470,2,0.17,54.5,214,189,322,-16,-7,-38,37.4117743,-121.9948443
159870928,2,8,37.4117671,-121.9948472,2,0.08,54.5,214,189,322,-6,6,-41,37.4117743,-121.9948443
159971604,2,8,37.4117668,-121.9948473,2,0.15,54.5,214,189,322,-14,6,-26,37.4117743,-121.9948443
160071796,2,8,37.4117665,-121.9948474,2,0.10,54.5,214,189,322,-3,10,-24,37.4117743,-121.9948443
160171976,2,8,37.4117662,-121.9948475,2,0.15,54.5,214,189,322,-12,9,-14,37.4117743,-121.9948443
160272253,2,8,37.4117661,-121.9948476,2,0.07,54.5,214,189,322,7,0,-5,37.4117743,-121.9948443
160353024,2,8,37.4117661,-121.9948476,2,0.07,54.5,214,189,322,7,0,-5,37.4117743,-121.9948443
160373100,2,8,37.4117659,-121.9948479,2,0.00,54.5,214,189,322,0,0,-3,37.4117743,-121.9948443
160473717,2,8,37.4117657,-121.9948481,2,0.09,54.5,214,189,322,8,-3,-8,37.4117743,-121.9948443
160575042,2,8,37.4117656,-121.9948484,2,0.11,54.5,214,189,322,10,3,-14,37.4117743,-121.9948443
160675967,2,8,37.4117654,-121.9948486,2,0.00,54.5,214,189,322,0,0,-19,37.4117743,-121.9948443
160775701,2,8,37.4117651,-121.9948488,2,0.08,54.5,214,189,322,-7,-3,-26,37.4117743,-121.9948443
160876334,2,8,37.4117650,-121.9948491,2,0.08,54.5,214,189,322,4,-7,-29,37.4117743,-121.9948443
160977077,2,8,37.4117648,-121.9948494,2,0.11,54.5,214,188,322,-4,-10,-28,37.4117743,-121.9948443
161077811,2,8,37.4117647,-121.9948496,2,0.01,54.5,214,188,321,0,-1,-27,37.4117743,-121.9948443
161178234,2,8,37.4117645,-121.9948498,2,0.10,54.5,214,188,321,-6,-8,-30,37.4117743,-121.9948443
161279237,2,8,37.4117644,-121.9948501,2,0.10,54.5,214,188,321,-1,-10,-23,37.4117743,-121.9948443
161379664,2,8,37.4117643,-121.9948503,2,0.06,54.5,214,188,321,-6,0,-4,37.4117743,-121.9948443
161480024,2,8,37.4117641,-121.9948505,2,0.13,54.5,214,188,321,-12,-5,16,37.4117743,-121.9948443
161560795,2,8,37.4117639,-121.9948508,3,0.15,54.5,214,188,320,-14,-5,45,37.4117743,-121.9948443
161681426,2,8,37.4117637,-121.9948511,3,0.11,54.5,214,188,320,-6,9,81,37.4117743,-121.9948443
161761702,2,8,37.4117637,-121.9948512,3,0.16,54.5,214,188,320,8,13,120,37.4117743,-121.9948443
