time (us),GPS_fixType,GPS_numSat,GPS_coord[0],GPS_coord[1],GPS_altitude,GPS_speed (m/s),GPS_ground_course,GPS_hdop,GPS_eph,GPS_epv,GPS_velned[0],GPS_velned[1],GPS_velned[2],GPS_home_lat,GPS_home_lon
160925427,2,7,37.4117690,-121.9949725,6,0.03,176.8,235,186,268,-3,0,13,37.4117677,-121.9949719
160933241,2,7,37.4117690,-121.9949725,6,0.03,176.8,235,186,268,-3,0,13,37.4117677,-121.9949719
160994647,2,7,37.4117692,-121.9949727,6,0.11,176.8,235,186,267,3,-11,9,37.4117677,-121.9949719
161095425,2,7,37.4117694,-121.9949729,6,0.05,176.8,235,185,267,4,-3,11,37.4117677,-121.9949719
161297356,2,7,37.4117695,-121.9949730,6,0.09,176.8,235,184,265,-5,-7,18,37.4117677,-121.9949719
161398230,2,7,37.4117695,-121.9949731,6,0.10,176.8,235,184,265,1,-10,13,37.4117677,-121.9949719
161498800,2,7,37.4117695,-121.9949732,6,0.06,176.8,235,183,264,4,-4,9,37.4117677,-121.9949719
161599731,2,7,37.4117697,-121.9949734,6,0.14,176.8,235,183,263,10,-8,4,37.4117677,-121.9949719
161700428,2,7,37.4117697,-121.9949735,6,0.04,176.8,235,182,263,1,4,6,37.4117677,-121.9949719
161801243,2,7,37.4117697,-121.9949736,6,0.06,176.8,235,182,262,-5,-2,9,37.4117677,-121.9949719
161901731,2,7,37.4117698,-121.9949737,6,0.03,176.8,235,181,261,1,-3,12,37.4117677,-121.9949719
161982472,2,7,37.4117697,-121.9949738,7,0.09,176.8,235,181,261,-8,5,14,37.4117677,-121.9949719
162082911,2,7,37.4117698,-121.9949740,7,0.06,176.8,235,181,260,-2,-6,17,37.4117677,-121.9949719
162183974,2,7,37.4117700,-121.9949742,7,0.12,176.8,235,180,260,10,-6,17,37.4117677,-121.9949719
162284652,2,7,37.4117701,-121.9949744,7,0.09,176.8,235,180,259,-9,-2,8,37.4117677,-121.9949719
162386042,2,7,37.4117702,-121.9949746,7,0.06,176.8,235,179,258,3,-6,7,37.4117677,-121.9949719
162486449,2,7,37.4117703,-121.9949747,7,0.03,176.8,235,179,258,-3,-2,4,37.4117677,-121.9949719
162587749,2,7,37.4117703,-121.9949748,7,0.06,176.8,235,178,257,-6,1,-5,37.4117677,-121.9949719
162688778,2,7,37.4117703,-121.9949747,7,0.14,176.8,235,178,257,-10,10,-6,37.4117677,-121.9949719
