gen,eff_rank,variation_scale,TARGET_X_TM5,TARGET_X_TM4,TARGET_X_TM3,TARGET_X_TM2,TARGET_X_TM1,TARGET_X_NOW,TARGET_Y_TM5,TARGET_Y_TM4,TARGET_Y_TM3,TARGET_Y_TM2,TARGET_Y_TM1,TARGET_Y_NOW,TARGET_Z_TM5,TARGET_Z_TM4,TARGET_Z_TM3,TARGET_Z_TM2,TARGET_Z_TM1,TARGET_Z_NOW,DIST_TM5,DIST_TM4,DIST_TM3,DIST_TM2,DIST_TM1,DIST_NOW,CLOSING_RATE,QUAT_W,QUAT_X,QUAT_Y,QUAT_Z,AIRSPEED,GYRO_P,GYRO_Q,GYRO_R,ACCEL_X,ACCEL_Y,ACCEL_Z,SPECIFIC_ENERGY,BOUNDARY_CLOSURE_RATE,DIST_TO_BOUNDARY,INWARD_BODY_X,INWARD_BODY_Y,INWARD_BODY_Z,SCORE_GRAD_X,SCORE_GRAD_Y,SCORE_GRAD_Z
1,11.6749,0.0000,1.22178,0.95113,0.92658,0.96825,0.79830,0.75296,0.91064,0.91790,1.15591,1.21450,0.96468,0.79573,0.98872,1.13559,0.89405,0.94604,0.94259,1.16436,1.16241,1.14790,0.95421,0.95085,0.95469,1.04821,0.95305,1.03933,0.95740,1.08537,0.77354,1.09695,1.01864,1.20382,1.00175,1.01654,1.02737,0.86561,0.92341,1.03101,1.03802,0.99734,1.06582,1.02634,1.04612,0.79339,1.17120
23,11.4027,0.0000,1.07234,0.93420,0.99280,0.84129,0.92987,0.72773,1.04176,0.97614,0.86699,1.14699,0.99555,1.21916,0.87692,0.90864,1.06828,1.29015,0.89331,1.31190,1.14160,0.84011,1.11063,0.84680,1.15070,1.13252,1.03474,0.90771,0.94738,1.01929,0.80794,0.89409,1.26013,0.97946,1.16628,1.12920,0.96645,1.00220,0.92645,1.01165,0.91931,1.01925,0.85225,0.90130,0.79707,1.10986,1.03161
