gen,eff_rank,variation_scale,TARGET_X_TM5,TARGET_X_TM4,TARGET_X_TM3,TARGET_X_TM2,TARGET_X_TM1,TARGET_X_NOW,TARGET_Y_TM5,TARGET_Y_TM4,TARGET_Y_TM3,TARGET_Y_TM2,TARGET_Y_TM1,TARGET_Y_NOW,TARGET_Z_TM5,TARGET_Z_TM4,TARGET_Z_TM3,TARGET_Z_TM2,TARGET_Z_TM1,TARGET_Z_NOW,DIST_TM5,DIST_TM4,DIST_TM3,DIST_TM2,DIST_TM1,DIST_NOW,CLOSING_RATE,QUAT_W,QUAT_X,QUAT_Y,QUAT_Z,AIRSPEED,GYRO_P,GYRO_Q,GYRO_R,ACCEL_X,ACCEL_Y,ACCEL_Z,SPECIFIC_ENERGY,BOUNDARY_CLOSURE_RATE,DIST_TO_BOUNDARY,INWARD_BODY_X,INWARD_BODY_Y,INWARD_BODY_Z,SCORE_GRAD_X,SCORE_GRAD_Y,SCORE_GRAD_Z
1,11.3027,0.0000,1.18975,1.03511,1.11133,1.22811,1.16491,0.99084,0.96343,0.97513,0.99680,0.78379,0.91584,0.81312,1.08666,0.86529,0.94276,1.09801,0.82997,1.08603,0.80590,0.81922,0.96596,1.28222,0.75913,0.92390,0.76740,0.97281,1.09445,0.98701,1.08073,0.85207,0.91277,0.96425,1.12046,1.06598,0.98285,1.22364,1.12706,1.14554,0.87362,1.02101,0.98552,1.01650,0.98840,0.97659,1.20817
41,11.4834,0.0526,0.81232,0.74896,0.87885,1.00580,0.89539,1.04058,1.11863,1.23416,1.01505,0.83013,1.14521,1.17408,0.88766,1.02683,1.13746,0.99719,1.01208,0.83005,1.10839,1.02210,1.12691,0.93034,0.94372,0.97385,1.01585,0.87671,0.77505,1.05151,1.07174,1.35731,1.11721,0.76630,0.94405,0.85907,1.10909,1.27013,0.85792,0.92523,0.95636,1.00411,0.85554,1.15781,1.12143,1.03181,0.98005
81,11.5218,0.1053,0.77868,0.93837,0.97693,1.19823,0.91952,0.93331,1.10470,1.07666,1.07420,0.98565,1.05944,1.27882,0.86479,0.75055,1.02357,1.04252,1.33166,0.80160,1.20004,1.02723,0.91051,1.06090,0.91020,1.01258,0.97064,0.89334,0.94509,0.90521,0.95904,1.25822,0.96296,0.90857,1.21747,0.88430,0.94523,1.01171,1.08404,0.87889,0.93122,0.89635,0.94104,1.03082,0.90349,1.14405,1.06765
121,11.6702,0.1579,0.80243,0.97637,1.06642,1.14292,0.89691,0.88531,1.18049,1.07662,1.10754,1.06596,1.09067,1.23224,0.94479,0.70972,1.11554,1.00558,1.25227,0.82254,1.16950,0.99982,0.95336,0.99925,0.85081,0.93022,0.89139,0.90476,0.94473,0.89575,0.98278,1.25306,0.98566,0.84709,1.21762,0.94372,0.91243,1.04731,1.09044,0.85734,1.01555,0.92918,0.93792,1.03277,0.90104,1.06113,1.07109
161,11.5584,0.2105,0.86152,1.06374,1.02795,1.15126,0.90992,0.94816,1.20330,1.07000,1.05883,0.99939,1.11037,1.28891,0.96931,0.76628,1.03523,0.96551,1.18917,0.79361,1.12291,0.98563,0.99583,1.04769,0.93004,0.97180,0.92583,0.98553,0.93452,0.86693,1.02496,1.23826,0.97847,0.80388,1.19031,0.94324,0.90377,1.13529,0.98502,0.83773,1.00499,0.88583,0.90367,1.00836,0.84400,1.08003,1.05302
182,11.3368,0.2105,0.91963,1.04291,1.03247,1.17307,0.88623,1.00441,1.20777,1.06153,1.02041,1.03082,1.12261,1.26668,1.01684,0.76459,1.05006,0.93071,1.15261,0.77273,1.13550,0.98784,0.98746,1.00669,0.94174,1.07142,0.93736,0.97485,0.96135,0.86151,1.00286,1.13829,0.99067,0.71774,1.14717,0.91214,0.96402,1.19610,1.01821,0.79772,1.04078,0.83298,0.95784,0.94248,0.84592,1.10863,1.06464
