t_ms,msp,motor,servo0,servo1,gyro_p,gyro_q,gyro_r,acc_x,acc_y,acc_z,qw,qx,qy,qz,pos_n,pos_e,pos_d,vel_n,vel_e,vel_d,tgtpos_n,tgtpos_e,tgtpos_d,rcData0,rcData1,rcData2,rcData3
554767.7710,3.0000,1665.0000,1465.0000,1505.0000,6.0000,-13.0000,0.0000,986.0000,-328.0000,2030.0000,0.2712,0.3188,-0.0565,0.9064,189.4100,-23.2700,-113.1600,-9.5500,-1.4400,-6.6200,0.0000,0.0000,-0.0000,1500.0000,1498.0000,1500.0000,1684.0000
554784.6920,3.0000,1662.0000,1465.0000,1507.0000,8.0000,-12.0000,1.0000,947.0000,-230.0000,2036.0000,0.2705,0.3209,-0.0563,0.9059,189.4100,-23.2700,-113.1600,-9.5500,-1.4400,-6.6200,0.0000,0.0000,-0.0000,1500.0000,1498.0000,1500.0000,1681.0000
554801.3270,3.0000,1665.0000,1467.0000,1507.0000,7.0000,-13.0000,2.0000,1042.0000,-391.0000,1974.0000,0.2695,0.3230,-0.0560,0.9055,189.1900,-23.2800,-113.3000,-9.5100,-1.4200,-6.6400,0.0000,0.0000,-0.0000,1500.0000,1498.0000,1500.0000,1684.0000
554817.9400,3.0000,1665.0000,1468.0000,1508.0000,9.0000,-14.0000,3.0000,1030.0000,-328.0000,1981.0000,0.2685,0.3251,-0.0558,0.9050,188.9800,-23.2900,-113.4500,-9.4700,-1.4100,-6.6500,0.0000,0.0000,-0.0000,1500.0000,1498.0000,1500.0000,1684.0000
554834.6110,3.0000,1665.0000,1469.0000,1507.0000,9.0000,-14.0000,2.0000,1044.0000,-313.0000,1959.0000,0.2674,0.3272,-0.0556,0.9046,188.7700,-23.3000,-113.6000,-9.4300,-1.4000,-6.6700,0.0000,0.0000,-0.0000,1500.0000,1498.0000,1500.0000,1684.0000
554851.4950,3.0000,1665.0000,1468.0000,1504.0000,7.0000,-15.0000,2.0000,1049.0000,-375.0000,1973.0000,0.2663,0.3295,-0.0556,0.9041,188.5600,-23.3000,-113.7400,-9.3800,-1.3900,-6.6900,0.0000,0.0000,-0.0000,1500.0000,1498.0000,1500.0000,1684.0000
554868.3090,3.0000,1665.0000,1469.0000,1505.0000,8.0000,-15.0000,1.0000,941.0000,-311.0000,2026.0000,0.2653,0.3319,-0.0555,0.9035,188.5600,-23.3000,-113.7400,-9.3800,-1.3900,-6.6900,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1684.0000
554884.8310,3.0000,1665.0000,1471.0000,1507.0000,11.0000,-14.0000,1.0000,1027.0000,-362.0000,2030.0000,0.2645,0.3342,-0.0554,0.9029,188.3500,-23.3200,-113.8900,-9.3300,-1.3900,-6.7100,0.0000,0.0000,-0.0000,1500.0000,1498.0000,1500.0000,1684.0000
554901.3960,3.0000,1664.0000,1472.0000,1506.0000,10.0000,-15.0000,-1.0000,999.0000,-234.0000,2061.0000,0.2637,0.3366,-0.0551,0.9023,188.1400,-23.3300,-114.0400,-9.2700,-1.3900,-6.7300,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1683.0000
554918.0520,3.0000,1664.0000,1472.0000,1506.0000,11.0000,-16.0000,-3.0000,1027.0000,-335.0000,2042.0000,0.2631,0.3391,-0.0545,0.9016,187.9300,-23.3400,-114.1900,-9.2100,-1.3900,-6.7600,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1683.0000
