t_ms,msp,motor,servo0,servo1,gyro_p,gyro_q,gyro_r,acc_x,acc_y,acc_z,qw,qx,qy,qz,pos_n,pos_e,pos_d,vel_n,vel_e,vel_d,tgtpos_n,tgtpos_e,tgtpos_d,rcData0,rcData1,rcData2,rcData3
286484.4500,3.0000,1591.0000,1448.0000,1498.0000,7.0000,7.0000,-2.0000,-71.0000,-250.0000,1672.0000,-0.0725,0.1719,0.1051,-0.9768,183.5700,-36.3300,-64.7400,-19.5400,1.3900,4.5100,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1613.0000
286501.1350,3.0000,1589.0000,1446.0000,1496.0000,5.0000,6.0000,-5.0000,-54.0000,-161.0000,1671.0000,-0.0735,0.1727,0.1048,-0.9766,183.5700,-36.3300,-64.7400,-19.5400,1.3900,4.5100,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1612.0000
286517.8250,3.0000,1589.0000,1447.0000,1497.0000,5.0000,6.0000,-7.0000,-63.0000,-130.0000,1544.0000,-0.0748,0.1726,0.1038,-0.9766,183.1600,-36.3000,-64.6600,-19.5600,1.3900,4.5400,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1612.0000
286534.5460,3.0000,1589.0000,1447.0000,1497.0000,6.0000,6.0000,-10.0000,-134.0000,-113.0000,1448.0000,-0.0766,0.1725,0.1026,-0.9767,182.7500,-36.2700,-64.5800,-19.5700,1.3900,4.5900,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1612.0000
286550.9980,3.0000,1588.0000,1449.0000,1499.0000,9.0000,6.0000,-11.0000,-104.0000,-235.0000,1303.0000,-0.0787,0.1741,0.1029,-0.9762,182.3500,-36.2400,-64.4900,-19.5500,1.3900,4.6500,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1611.0000
286567.6700,3.0000,1588.0000,1449.0000,1501.0000,10.0000,7.0000,-11.0000,-85.0000,-274.0000,1049.0000,-0.0810,0.1758,0.1027,-0.9757,181.9200,-36.2000,-64.4100,-19.5900,1.3700,4.7200,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1612.0000
286584.1170,3.0000,1589.0000,1452.0000,1504.0000,15.0000,8.0000,-10.0000,-101.0000,-288.0000,939.0000,-0.0831,0.1774,0.1021,-0.9753,181.5100,-36.1700,-64.3200,-19.6100,1.3300,4.8200,0.0000,0.0000,-0.0000,1500.0000,1498.0000,1500.0000,1612.0000
286600.7800,3.0000,1589.0000,1458.0000,1510.0000,26.0000,6.0000,-12.0000,-226.0000,-179.0000,1098.0000,-0.0857,0.1790,0.1003,-0.9750,181.5100,-36.1700,-64.3200,-19.6100,1.3300,4.8200,0.0000,0.0000,-0.0000,1500.0000,1498.0000,1500.0000,1612.0000
286617.3500,3.0000,1590.0000,1462.0000,1514.0000,32.0000,7.0000,-12.0000,-278.0000,-114.0000,1222.0000,-0.0885,0.1805,0.0976,-0.9747,181.1000,-36.1400,-64.2400,-19.6200,1.3100,4.9100,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1613.0000
286634.2340,3.0000,1590.0000,1467.0000,1519.0000,42.0000,6.0000,-12.0000,-221.0000,-202.0000,1142.0000,-0.0916,0.1820,0.0938,-0.9745,180.6900,-36.1100,-64.1500,-19.6200,1.2900,4.9900,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1612.0000
286650.9050,3.0000,1589.0000,1470.0000,1522.0000,48.0000,6.0000,-11.0000,-178.0000,-270.0000,1059.0000,-0.0948,0.1831,0.0888,-0.9745,180.2900,-36.0800,-64.0500,-19.6100,1.2700,5.0600,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1612.0000
286667.4270,3.0000,1589.0000,1469.0000,1521.0000,45.0000,6.0000,-10.0000,-203.0000,-166.0000,1030.0000,-0.0976,0.1837,0.0817,-0.9747,179.8700,-36.0600,-63.9600,-19.6400,1.2300,5.1500,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1612.0000
286684.2720,3.0000,1589.0000,1462.0000,1514.0000,33.0000,5.0000,-9.0000,-217.0000,-109.0000,1080.0000,-0.1003,0.1851,0.0774,-0.9745,179.4500,-36.0300,-63.8700,-19.6600,1.2100,5.2400,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1612.0000
286701.1010,3.0000,1591.0000,1453.0000,1507.0000,20.0000,7.0000,-8.0000,-255.0000,-147.0000,1280.0000,-0.1026,0.1867,0.0750,-0.9742,179.4500,-36.0300,-63.8700,-19.6600,1.2100,5.2400,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1613.0000
286717.8870,3.0000,1589.0000,1449.0000,1503.0000,11.0000,7.0000,-8.0000,-253.0000,-179.0000,1408.0000,-0.1043,0.1878,0.0730,-0.9739,179.0400,-36.0000,-63.7700,-19.6700,1.1800,5.3100,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1612.0000
286734.6660,3.0000,1589.0000,1448.0000,1502.0000,8.0000,7.0000,-8.0000,-247.0000,-245.0000,1432.0000,-0.1059,0.1887,0.0716,-0.9737,178.6400,-35.9800,-63.6800,-19.6800,1.1600,5.3700,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1612.0000
286751.4680,3.0000,1589.0000,1450.0000,1502.0000,7.0000,5.0000,-7.0000,-267.0000,-157.0000,1387.0000,-0.1075,0.1905,0.0717,-0.9731,178.2500,-35.9600,-63.5800,-19.6900,1.1200,5.4200,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1612.0000
286768.1880,3.0000,1589.0000,1446.0000,1500.0000,1.0000,7.0000,-5.0000,-169.0000,-212.0000,1887.0000,-0.1089,0.1922,0.0722,-0.9726,177.8200,-35.9300,-63.4800,-19.7300,1.0900,5.4600,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1612.0000
