t_ms,msp,motor,servo0,servo1,gyro_p,gyro_q,gyro_r,acc_x,acc_y,acc_z,qw,qx,qy,qz,pos_n,pos_e,pos_d,vel_n,vel_e,vel_d,tgtpos_n,tgtpos_e,tgtpos_d,rcData0,rcData1,rcData2,rcData3
190885.1680,3.0000,1762.0000,1464.0000,1520.0000,20.0000,6.0000,-10.0000,-339.0000,-222.0000,545.0000,-0.0551,-0.0662,-0.0893,0.9923,178.3800,-37.0200,-69.1900,-19.9700,5.1600,3.0000,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1775.0000
190902.2600,3.0000,1762.0000,1474.0000,1526.0000,35.0000,3.0000,-12.0000,-180.0000,-195.0000,997.0000,-0.0531,-0.0669,-0.0852,0.9927,178.3800,-37.0200,-69.1900,-19.9700,5.1600,3.0000,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1776.0000
190918.9270,3.0000,1763.0000,1480.0000,1528.0000,45.0000,0.0000,-14.0000,-93.0000,-179.0000,1431.0000,-0.0509,-0.0672,-0.0792,0.9933,177.9700,-36.9000,-69.1100,-19.9600,5.1600,3.1100,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1776.0000
190935.4480,3.0000,1763.0000,1482.0000,1532.0000,52.0000,1.0000,-15.0000,-114.0000,-206.0000,2126.0000,-0.0486,-0.0673,-0.0715,0.9940,177.5700,-36.7800,-69.0400,-19.9600,5.1700,3.1700,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1776.0000
190952.2540,3.0000,1763.0000,1475.0000,1529.0000,45.0000,5.0000,-11.0000,-217.0000,-454.0000,2687.0000,-0.0464,-0.0679,-0.0647,0.9945,177.1900,-36.6700,-68.9600,-19.9500,5.1800,3.1600,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1776.0000
190968.9900,3.0000,1763.0000,1464.0000,1524.0000,29.0000,9.0000,-7.0000,-299.0000,-659.0000,2447.0000,-0.0449,-0.0690,-0.0595,0.9948,176.7500,-36.5400,-68.8900,-19.9900,5.1700,3.1000,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1776.0000
190985.5470,3.0000,1763.0000,1455.0000,1515.0000,12.0000,10.0000,-1.0000,-224.0000,-507.0000,2043.0000,-0.0444,-0.0704,-0.0566,0.9949,176.7500,-36.5400,-68.8900,-19.9900,5.1700,3.1000,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1776.0000
191002.4580,3.0000,1762.0000,1453.0000,1511.0000,7.0000,7.0000,8.0000,-58.0000,-457.0000,2050.0000,-0.0449,-0.0716,-0.0553,0.9949,176.3300,-36.4200,-68.8100,-20.0100,5.1400,3.0700,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1775.0000
191019.1560,3.0000,1762.0000,1450.0000,1506.0000,-3.0000,6.0000,18.0000,-71.0000,-514.0000,1769.0000,-0.0470,-0.0725,-0.0550,0.9947,175.9300,-36.3000,-68.7400,-20.0300,5.1300,3.0800,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1775.0000
191035.6680,3.0000,1763.0000,1453.0000,1511.0000,4.0000,6.0000,23.0000,-11.0000,-366.0000,1509.0000,-0.0500,-0.0735,-0.0553,0.9945,175.5300,-36.1900,-68.6700,-20.0500,5.1000,3.1000,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1776.0000
191052.2910,3.0000,1763.0000,1462.0000,1516.0000,13.0000,3.0000,22.0000,-104.0000,-344.0000,1075.0000,-0.0532,-0.0744,-0.0542,0.9943,175.1500,-36.0800,-68.5900,-20.0400,5.0800,3.1600,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1776.0000
