timestamp_ms,pos_raw_n,pos_raw_e,pos_raw_d,vel_n,vel_e,vel_d,quat_w,quat_x,quat_y,quat_z
160229,0.6875,0.4375,0.0,0.05078125,0.08984375,0.0,-0.9705496383556627,0.01641895809808649,-0.14050721762749108,0.19501327555162207
160238,0.75,0.4375,0.0,0.05859375,0.0703125,0.0,-0.9705191198461867,0.019318216498306222,-0.13943906979583118,0.195654164250618
160279,0.75,0.4375,0.0,0.078125,0.0703125,-0.01171875,-0.9710379345072787,0.020508438367870113,-0.13608203375347147,0.19534897915585803
160330,0.75,0.4375,0.0,0.078125,0.078125,-0.03125,-0.9719229712820826,0.020966216010010072,-0.1293069246498001,0.195471053193762
160371,0.75,0.4375,0.0,0.0703125,0.08984375,-0.03125,-0.9724112674336985,0.019745475630970184,-0.12518692587054048,0.19586779381695
160421,0.75,0.4375,0.0,0.05859375,0.078125,-0.03125,-0.9728995635853145,0.015381328775902585,-0.12179937131870479,0.19592883083590198
160482,0.75,0.4375,0.0,0.05859375,0.0703125,-0.03125,-0.9727164525284585,0.013214514603106785,-0.12057863093966491,0.1978209784234138
160527,0.75,0.4375,0.0,0.05859375,0.05078125,-0.01171875,-0.9716483046967986,0.015045625171666617,-0.12335581530198066,0.2011169774468215
160573,0.75,0.4375,0.0,0.0703125,0.03125,0.01953125,-0.9697561571092868,0.020508438367870113,-0.12985625782036805,0.2056031983397931
160623,0.8125,0.4375,0.0,0.0703125,0.03125,0.01953125,-0.9685354167302469,0.027588732566301462,-0.1348002563554796,0.20731223487044892
160674,0.8125,0.4375,0.0,0.08984375,0.0390625,0.01171875,-0.967894528031251,0.03402813806573687,-0.13953062532425917,0.20627460554826502
160724,0.8125,0.4375,-0.0625,0.109375,0.05859375,0.0,-0.9670705282753991,0.040498062074648275,-0.14493240150151065,0.20520645771660512
160775,0.8125,0.4375,-0.0625,0.12109375,0.05859375,-0.03125,-0.9662160100100711,0.04611346781823176,-0.1490829187902463,0.20514542069765312
160826,0.8125,0.4375,-0.0625,0.12890625,0.0703125,-0.05078125,-0.9660634174626911,0.04751731925412763,-0.1487166966765343,0.20575579088717308
160877,0.8125,0.4375,-0.0625,0.12109375,0.0703125,-0.0703125,-0.966460158085879,0.04602191228980377,-0.14532914212469863,0.206701864680929
160927,0.875,0.4375,-0.0625,0.109375,0.078125,-0.0703125,-0.9669789727469711,0.04385509811700797,-0.14154484694967498,0.2074037903988769
160979,0.875,0.4375,-0.0625,0.078125,0.0703125,-0.05859375,-0.967284157841731,0.04119998779259621,-0.13995788445692312,0.20758690145573291
161031,0.875,0.4375,-0.0625,0.078125,0.05859375,-0.05859375,-0.967345194860683,0.03836176641132847,-0.14059877315591907,0.20731223487044892
161081,0.875,0.4375,-0.125,0.078125,0.03125,-0.05078125,-0.967314676351207,0.037202063051240575,-0.14154484694967498,0.20709860530411695
161132,0.875,0.4375,-0.125,0.0703125,0.01953125,-0.0390625,-0.9671620838038271,0.037568285164952545,-0.14264351329081087,0.20697653126621296
161182,0.875,0.4375,-0.125,0.0703125,0.01171875,-0.03125,-0.9670705282753991,0.039155247657704395,-0.14288766136661885,0.20700704977568896
161223,0.875,0.4375,-0.125,0.05859375,0.01171875,-0.01953125,-0.9669179357280191,0.040650654622028264,-0.14285714285714285,0.2074343089083529
161278,0.875,0.4375,-0.125,0.05078125,0.01171875,-0.01953125,-0.966612750633259,0.041779839472640155,-0.14304025391399883,0.2084414197210608
161324,0.875,0.4375,-0.125,0.0390625,0.01171875,-0.01953125,-0.9661549729911191,0.04220709860530412,-0.14337595751823481,0.21027253028962065
161375,0.875,0.375,-0.125,0.0390625,0.01171875,-0.01953125,-0.9655446028015991,0.04272591326639607,-0.1434369945371868,0.2129581591235084
161426,0.875,0.375,-0.125,0.05078125,0.01953125,-0.01171875,-0.9647816400646992,0.04309213538010804,-0.14383373516037476,0.21601001007110812
161476,0.875,0.375,-0.1875,0.0390625,0.01953125,-0.01171875,-0.9640186773277993,0.04303109836115604,-0.14581743827631458,0.21808526871547593
161528,0.9375,0.375,-0.1875,0.03125,0.01171875,-0.01953125,-0.9634083071382794,0.042542802209540084,-0.14926602984710227,0.2186040833765679
161578,0.9375,0.375,-0.1875,0.03125,0.01171875,-0.03125,-0.9631031220435194,0.0445265053254799,-0.15198217719046603,0.217566454054384
161628,0.9375,0.375,-0.1875,0.05078125,0.0,-0.03125,-0.9632557145908994,0.04574724570451979,-0.15359965819269386,0.21549119541001618
161679,0.9375,0.375,-0.1875,0.05078125,0.0,-0.0390625,-0.9634388256477554,0.04617450483718375,-0.15491195410016176,0.21362956633198035
161730,0.9375,0.375,-0.1875,0.03125,0.0,-0.05078125,-0.9633777886288034,0.04510635700552385,-0.15628528702658162,0.21326334421826837
161780,0.9375,0.375,-0.1875,0.03125,0.01171875,-0.0703125,-0.9630115665150915,0.043122653889584035,-0.1575365459150975,0.2143925290688803
161830,0.9375,0.375,-0.25,0.01953125,0.01953125,-0.109375,-0.9623706778160954,0.04251228370006409,-0.15939817499313333,0.21594897305215613
161871,0.9375,0.3125,-0.25,0.01953125,0.03125,-0.12109375,-0.9614551225318155,0.04303109836115604,-0.16278572954496903,0.217413861507004
161921,0.9375,0.3125,-0.25,0.03125,0.03125,-0.12109375,-0.9599902340769677,0.04477065340128788,-0.16785180211798456,0.2196722312082278
161973,0.9375,0.3125,-0.25,0.05859375,0.01953125,-0.109375,-0.9593493453779718,0.04504531998657186,-0.1696523941770684,0.22104556413464765
162023,0.9375,0.3125,-0.25,0.0703125,0.01953125,-0.08984375,-0.9603564561906797,0.04229865413373211,-0.16501358073671682,0.2207098605304117
162085,0.9375,0.3125,-0.25,0.08984375,0.01953125,-0.0703125,-0.9621265297402875,0.03878902554399243,-0.15604113895077365,0.22013000885036774
162124,0.9375,0.3125,-0.3125,0.078125,0.01171875,-0.0390625,-0.9627674184392834,0.03543198950163274,-0.15170751060518203,0.22095400860621967
162175,0.9375,0.3125,-0.3125,0.078125,-0.01953125,-0.03125,-0.9625537888729514,0.036133915219580676,-0.14719077120273447,0.22473830378124332
162226,1.0,0.3125,-0.3125,0.078125,-0.05078125,-0.03125,-0.9622180852687154,0.04190191351054415,-0.14065981017487106,0.2293465987121189
162276,1.0,0.3125,-0.3125,0.05859375,-0.05859375,-0.01171875,-0.9623096407971434,0.04699850459303568,-0.13299966429639576,0.2325205236976226
162328,1.0,0.3125,-0.3125,0.03125,-0.0390625,0.0,-0.9632862331003754,0.048554948576311534,-0.12463759269997253,0.23285622730185856
162378,1.0,0.25,-0.3125,-0.01171875,-0.03125,0.0,-0.9646290475173193,0.04730368968779565,-0.11670278023621326,0.23163548692281868
162428,1.0,0.25,-0.3125,0.01171875,-0.0390625,0.0,-0.9652699362163152,0.045930356761375773,-0.11218604083376568,0.2314828943754387
162479,1.0,0.25,-0.3125,0.05859375,-0.05859375,-0.01953125,-0.9655751213110751,0.04474013489181188,-0.1076998199407941,0.2325815607165746
162530,1.0,0.25,-0.3125,0.1015625,-0.05859375,-0.0390625,-0.9660634174626911,0.0445875423444319,-0.10126041444135868,0.23343607898190252
162580,1.0,0.25,-0.375,0.140625,-0.05859375,-0.05859375,-0.9669789727469711,0.04370250556962798,-0.09421063875240333,0.23279519028290657
162620,1.0,0.25,-0.375,0.1484375,-0.0390625,-0.0703125,-0.967802972502823,0.04354991302224799,-0.0892361217078158,0.23129978331858272
162671,1.0,0.25,-0.375,0.1484375,-0.03125,-0.0703125,-0.9690847499008148,0.043488876003296,-0.08410901211584826,0.22782067323831903
162722,1.0,0.25,-0.375,0.12890625,-0.03125,-0.078125,-0.9710074159978027,0.041016876735740226,-0.0793176061281167,0.2217780083620716
162772,1.0,0.25,-0.375,0.12109375,-0.01953125,-0.08984375,-0.9730216376232185,0.038239692373424485,-0.07480086672566912,0.21485030671102023
162833,1.0,0.25,-0.375,0.12109375,-0.0390625,-0.1015625,-0.9747611926633504,0.03567613757744072,-0.07248146000549333,0.20813623462630085
162874,1.0,0.25,-0.4375,0.109375,-0.05078125,-0.12890625,-0.9755546739097263,0.0348216193121128,-0.07119968260750145,0.20496230964079715
162925,1.0625,0.1875,-0.4375,0.08984375,-0.0390625,-0.140625,-0.9761345255897702,0.03436384166997284,-0.0707113864558855,0.20249031037324136
