t_ms,msp,motor,servo0,servo1,gyro_p,gyro_q,gyro_r,acc_x,acc_y,acc_z,qw,qx,qy,qz,pos_n,pos_e,pos_d,vel_n,vel_e,vel_d,tgtpos_n,tgtpos_e,tgtpos_d,rcData0,rcData1,rcData2,rcData3
302287.3200,3.0000,1551.0000,1466.0000,1518.0000,-2.0000,0.0000,16.0000,18.0000,-246.0000,1661.0000,0.2154,-0.0599,-0.0662,0.9724,133.2900,-65.2200,-89.9400,-21.6700,1.6600,2.0700,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1576.0000
302304.0330,3.0000,1551.0000,1466.0000,1518.0000,-3.0000,0.0000,18.0000,6.0000,-194.0000,1727.0000,0.2129,-0.0605,-0.0667,0.9729,132.8100,-65.1700,-89.9100,-21.7200,1.6600,2.0900,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1576.0000
302320.6890,3.0000,1551.0000,1465.0000,1517.0000,-5.0000,1.0000,19.0000,24.0000,-176.0000,1788.0000,0.2102,-0.0611,-0.0675,0.9734,132.3600,-65.1200,-89.8700,-21.7500,1.6700,2.1100,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1576.0000
302337.2920,3.0000,1551.0000,1465.0000,1517.0000,-4.0000,1.0000,19.0000,47.0000,-120.0000,1791.0000,0.2075,-0.0617,-0.0684,0.9739,131.9100,-65.0800,-89.8400,-21.7800,1.6800,2.1200,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1576.0000
302353.8110,3.0000,1550.0000,1466.0000,1518.0000,-3.0000,1.0000,20.0000,131.0000,-20.0000,1703.0000,0.2049,-0.0621,-0.0693,0.9744,131.9100,-65.0800,-89.8400,-21.7800,1.6800,2.1200,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1575.0000
302370.3070,3.0000,1551.0000,1467.0000,1519.0000,-2.0000,0.0000,18.0000,151.0000,4.0000,1731.0000,0.2023,-0.0622,-0.0702,0.9748,131.4900,-65.0300,-89.8100,-21.7900,1.6900,2.1500,0.0000,0.0000,-0.0000,1498.0000,1500.0000,1500.0000,1576.0000
302386.9890,3.0000,1551.0000,1467.0000,1519.0000,-2.0000,1.0000,16.0000,107.0000,-54.0000,1878.0000,0.1999,-0.0621,-0.0710,0.9753,131.0300,-64.9800,-89.7800,-21.8400,1.7000,2.1700,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1576.0000
302403.5760,3.0000,1551.0000,1466.0000,1520.0000,-2.0000,2.0000,13.0000,-23.0000,27.0000,1920.0000,0.1980,-0.0624,-0.0715,0.9756,130.5600,-64.9400,-89.7400,-21.8900,1.7100,2.1900,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1576.0000
302420.2290,3.0000,1551.0000,1466.0000,1520.0000,-1.0000,2.0000,9.0000,32.0000,105.0000,1838.0000,0.1965,-0.0626,-0.0722,0.9758,130.1000,-64.8900,-89.7100,-21.9300,1.7200,2.1900,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1576.0000
302436.9110,3.0000,1551.0000,1464.0000,1520.0000,-3.0000,3.0000,5.0000,88.0000,135.0000,1778.0000,0.1956,-0.0631,-0.0729,0.9759,129.6600,-64.8400,-89.6700,-21.9500,1.7400,2.2100,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1576.0000
