t_ms,msp,motor,servo0,servo1,gyro_p,gyro_q,gyro_r,acc_x,acc_y,acc_z,qw,qx,qy,qz,pos_n,pos_e,pos_d,vel_n,vel_e,vel_d,tgtpos_n,tgtpos_e,tgtpos_d,rcData0,rcData1,rcData2,rcData3
230031.2910,3.0000,1620.0000,1475.0000,1517.0000,7.0000,-3.0000,2.0000,464.0000,-168.0000,2283.0000,-0.0062,0.0133,-0.1687,0.9856,152.0300,-98.1900,-102.5800,-23.8800,6.1500,-0.7500,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1640.0000
230047.9840,3.0000,1620.0000,1474.0000,1516.0000,5.0000,-3.0000,3.0000,259.0000,-197.0000,2247.0000,-0.0065,0.0137,-0.1678,0.9857,152.0300,-98.1900,-102.5800,-23.8800,6.1500,-0.7500,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1640.0000
230064.6090,3.0000,1620.0000,1475.0000,1515.0000,5.0000,-5.0000,3.0000,197.0000,-181.0000,2143.0000,-0.0068,0.0143,-0.1671,0.9858,151.5600,-98.0600,-102.6000,-23.8500,6.2000,-0.7600,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1640.0000
230081.1650,3.0000,1620.0000,1473.0000,1515.0000,3.0000,-2.0000,2.0000,209.0000,-263.0000,2077.0000,-0.0072,0.0149,-0.1665,0.9859,151.0400,-97.9100,-102.6100,-23.8500,6.2800,-0.7600,0.0000,0.0000,-0.0000,1500.0000,1498.0000,1500.0000,1641.0000
230098.0130,3.0000,1618.0000,1471.0000,1517.0000,3.0000,0.0000,2.0000,135.0000,-84.0000,1974.0000,-0.0074,0.0151,-0.1660,0.9860,150.5200,-97.7600,-102.6300,-23.8300,6.3400,-0.7600,0.0000,0.0000,-0.0000,1497.0000,1500.0000,1500.0000,1638.0000
230114.7880,3.0000,1617.0000,1478.0000,1522.0000,8.0000,-1.0000,3.0000,143.0000,-24.0000,1916.0000,-0.0077,0.0153,-0.1652,0.9861,150.0300,-97.6200,-102.6400,-23.8000,6.4000,-0.7500,0.0000,0.0000,-0.0000,1497.0000,1500.0000,1500.0000,1638.0000
230131.4440,3.0000,1617.0000,1477.0000,1519.0000,8.0000,-2.0000,3.0000,223.0000,-169.0000,1956.0000,-0.0081,0.0155,-0.1639,0.9863,149.5500,-97.4800,-102.6500,-23.7500,6.4600,-0.7300,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1638.0000
230148.0290,3.0000,1620.0000,1475.0000,1517.0000,6.0000,-1.0000,3.0000,561.0000,-209.0000,1960.0000,-0.0084,0.0159,-0.1628,0.9865,149.5500,-97.4800,-102.6500,-23.7500,6.4600,-0.7300,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1640.0000
230164.5190,3.0000,1620.0000,1477.0000,1519.0000,8.0000,-2.0000,3.0000,604.0000,-192.0000,1983.0000,-0.0090,0.0154,-0.1615,0.9867,149.0900,-97.3500,-102.6600,-23.7100,6.5000,-0.7300,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1640.0000
230181.1140,3.0000,1620.0000,1476.0000,1518.0000,8.0000,-1.0000,3.0000,309.0000,-254.0000,2066.0000,-0.0096,0.0151,-0.1603,0.9869,148.5700,-97.2000,-102.6800,-23.7700,6.5800,-0.7200,0.0000,0.0000,-0.0000,1498.0000,1498.0000,1500.0000,1640.0000
230197.7640,3.0000,1620.0000,1477.0000,1521.0000,10.0000,0.0000,5.0000,321.0000,-282.0000,2034.0000,-0.0102,0.0148,-0.1589,0.9871,148.0700,-97.0500,-102.6900,-23.8000,6.6500,-0.7200,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1640.0000
