time (us),GPS_fixType,GPS_numSat,GPS_coord[0],GPS_coord[1],GPS_altitude,GPS_speed (m/s),GPS_ground_course,GPS_hdop,GPS_eph,GPS_epv,GPS_velned[0],GPS_velned[1],GPS_velned[2],GPS_home_lat,GPS_home_lon
130009618,2,10,37.4117797,-121.9949636,1,0.20,136.5,180,224,390,-19,6,-44,37.4117787,-121.9949642
130017710,2,10,37.4117797,-121.9949636,1,0.20,136.5,180,224,390,-19,6,-44,37.4117787,-121.9949642
130094134,2,10,37.4117798,-121.9949636,1,0.18,136.5,180,223,390,-18,-2,-39,37.4117787,-121.9949642
130194232,2,10,37.4117797,-121.9949638,1,0.15,136.5,180,223,390,-12,-9,-45,37.4117787,-121.9949642
130294696,2,10,37.4117798,-121.9949638,1,0.09,136.5,180,223,390,-8,4,-32,37.4117787,-121.9949642
130496248,2,10,37.4117800,-121.9949638,1,0.14,136.5,180,223,390,0,14,-22,37.4117787,-121.9949642
130597182,2,10,37.4117801,-121.9949639,1,0.09,136.5,180,223,390,-4,-8,-29,37.4117787,-121.9949642
130698783,2,10,37.4117802,-121.9949639,1,0.16,136.5,180,222,390,-16,0,-34,37.4117787,-121.9949642
130799480,2,10,37.4117803,-121.9949638,1,0.08,136.5,180,222,390,-6,5,-39,37.4117787,-121.9949642
130900202,2,10,37.4117804,-121.9949636,1,0.20,136.5,180,222,389,-14,13,-38,37.4117787,-121.9949642
131000271,2,10,37.4117805,-121.9949634,1,0.07,136.5,180,222,389,-3,6,-37,37.4117787,-121.9949642
131101017,2,10,37.4117805,-121.9949633,1,0.01,136.5,180,222,388,-1,0,-35,37.4117787,-121.9949642
131201325,2,10,37.4117806,-121.9949632,1,0.03,136.5,180,222,388,-2,2,-37,37.4117787,-121.9949642
131302361,2,10,37.4117807,-121.9949632,0,0.09,136.5,180,221,387,-9,0,-28,37.4117787,-121.9949642
131382614,2,10,37.4117808,-121.9949631,0,0.13,136.5,180,221,387,-11,5,-33,37.4117787,-121.9949642
131503320,2,10,37.4117809,-121.9949630,0,0.06,136.5,180,221,386,1,5,-31,37.4117787,-121.9949642
131583546,2,10,37.4117810,-121.9949629,0,0.10,136.5,180,221,386,9,4,-33,37.4117787,-121.9949642
131684293,2,10,37.4117812,-121.9949629,0,0.07,136.5,180,221,385,-7,1,-34,37.4117787,-121.9949642
131784803,2,10,37.4117814,-121.9949629,0,0.07,136.5,180,221,385,-5,4,-45,37.4117787,-121.9949642
