time (us),GPS_fixType,GPS_numSat,GPS_coord[0],GPS_coord[1],GPS_altitude,GPS_speed (m/s),GPS_ground_course,GPS_hdop,GPS_eph,GPS_epv,GPS_velned[0],GPS_velned[1],GPS_velned[2],GPS_home_lat,GPS_home_lon
461216237,2,7,37.4117016,-121.9948173,2,0.02,135.3,221,209,319,2,0,-25,37.4116996,-121.9948180
461224110,2,7,37.4117016,-121.9948173,2,0.02,135.3,221,209,319,2,0,-25,37.4116996,-121.9948180
461296179,2,7,37.4117017,-121.9948171,2,0.07,135.3,221,209,319,-4,-6,-31,37.4116996,-121.9948180
461396754,2,7,37.4117019,-121.9948169,2,0.11,135.3,221,209,320,2,-10,-27,37.4116996,-121.9948180
461497179,2,7,37.4117020,-121.9948167,2,0.10,135.3,221,209,320,-9,-5,-32,37.4116996,-121.9948180
461597756,2,7,37.4117021,-121.9948165,2,0.16,135.3,221,208,320,-10,-12,-28,37.4116996,-121.9948180
461698019,2,7,37.4117022,-121.9948163,2,0.19,135.3,221,208,321,1,-19,-35,37.4116996,-121.9948180
461799119,2,7,37.4117024,-121.9948160,2,0.16,135.3,221,208,320,13,-8,-41,37.4116996,-121.9948180
461900176,2,7,37.4117024,-121.9948158,2,0.07,135.3,221,208,320,-3,-7,-37,37.4116996,-121.9948180
462000452,2,7,37.4117025,-121.9948157,2,0.15,135.3,221,208,320,-4,-15,-23,37.4116996,-121.9948180
462101773,2,7,37.4117026,-121.9948155,2,0.11,135.3,221,208,320,0,-11,-33,37.4116996,-121.9948180
462202242,2,7,37.4117029,-121.9948154,2,0.10,135.3,221,208,320,4,-8,-28,37.4116996,-121.9948180
462302727,2,7,37.4117031,-121.9948153,2,0.16,135.3,221,208,320,13,-9,-29,37.4116996,-121.9948180
462403605,2,7,37.4117033,-121.9948152,2,0.13,135.3,221,208,320,-1,-13,-23,37.4116996,-121.9948180
462504297,2,7,37.4117033,-121.9948147,2,0.22,135.3,221,207,320,-20,-8,-27,37.4116996,-121.9948180
462604806,2,7,37.4117033,-121.9948146,2,0.10,135.3,221,207,320,-8,-5,-34,37.4116996,-121.9948180
462705393,2,7,37.4117035,-121.9948146,2,0.08,135.3,221,207,320,-1,-8,-25,37.4116996,-121.9948180
462806760,2,7,37.4117037,-121.9948144,2,0.00,135.3,221,207,321,0,0,-37,37.4116996,-121.9948180
