BCN,0777,0791,069948,2,9,029361,2,9,32800,32768,00000,00000
BCN,0778,1629,069948,2,9,029361,2,9,32800,32768,00000,00000
BCN,1850,1607,069987,2,9,029289,2,9,32800,32768,00000,00000
BCN,1851,0736,069987,2,9,029289,2,9,32800,32768,00000,00000
BCN,1852,1607,069987,2,9,029289,2,9,32800,32768,00000,00000
BCN,1853,1384,069987,2,9,029289,2,9,32800,32768,00000,00000
BCN,1854,1609,063791,2,8,029009,2,9,32800,32768,00000,00000
BCN,1855,1257,063791,2,8,029009,2,9,32800,32768,00000,00000
BCN,1856,1324,063791,2,8,029009,2,9,32800,32768,00000,00000
BCN,1857,0738,063791,2,8,029009,2,9,32800,32768,00000,00000
BCN,1858,1423,063791,2,8,029009,2,9,32800,32768,00000,00000
BCN,1859,1622,063791,2,8,029009,2,9,32800,32768,00000,00000
BCN,1860,1609,067822,2,9,028637,2,9,32800,32768,00000,00000
BCN,1861,0842,067822,2,9,028637,2,9,32800,32768,00000,00000
BCN,1862,0807,067822,2,9,028637,2,9,32800,32768,00000,00000
BCN,1863,0805,067822,2,9,028637,2,9,32800,32768,00000,00000
BCN,1864,0721,067822,2,9,028637,2,9,32800,32768,00000,00000
BCN,1865,1586,067822,2,9,028637,2,9,32800,32768,00000,00000
BCN,1866,1608,061730,2,8,028244,2,9,32800,32768,00000,00000
BCN,1867,1599,061730,2,8,028244,2,9,32800,32768,00000,00000
BCN,1868,1590,061730,2,8,028244,2,9,32800,32768,00000,00000
BCN,1869,1623,061730,2,8,028244,2,9,32800,32768,00000,00000
BCN,1870,0722,061730,2,8,028244,2,9,32800,32768,00000,00000
BCN,1871,0736,061730,2,8,028244,2,9,32800,32768,00000,00000
BCN,1872,1601,063778,2,8,027895,2,9,32799,32768,00000,00000
BCN,1873,0736,063778,2,8,027895,2,9,32799,32768,00000,00000
BCN,1874,0722,063778,2,8,027895,2,9,32799,32768,00000,00000
BCN,1875,1623,063778,2,8,027895,2,9,32799,32768,00000,00000
BCN,1876,0727,063778,2,8,027895,2,9,32799,32768,00000,00000
BCN,1877,0741,063778,2,8,027895,2,9,32799,32768,00000,00000
BCN,1878,0722,061587,2,8,027168,2,9,32800,32768,00000,00000
BCN,1879,0740,061587,2,8,027168,2,9,32800,32768,00000,00000
BCN,1880,0725,061587,2,8,027168,2,9,32800,32768,00000,00000
BCN,1881,1623,061587,2,8,027168,2,9,32800,32768,00000,00000
BCN,1882,1607,061587,2,8,027168,2,9,32800,32768,00000,00000
BCN,1883,1622,061587,2,8,027168,2,9,32800,32768,00000,00000
BCN,1884,0724,061587,2,8,027168,2,9,32800,32768,00000,00000
BCN,1885,1362,061652,2,8,026362,2,8,32800,32768,00000,00000
BCN,1886,1219,061652,2,8,026362,2,8,32800,32768,00000,00000
BCN,1887,1622,061652,2,8,026362,2,8,32800,32768,00000,00000
BCN,1888,1324,061652,2,8,026362,2,8,32800,32768,00000,00000
BCN,1889,1621,061652,2,8,026362,2,8,32800,32768,00000,00000
BCN,1890,0927,061652,2,8,026362,2,8,32800,32768,00000,00000
BCN,1891,1622,063713,2,8,025647,2,8,32799,32768,00000,00000
BCN,1892,1497,063713,2,8,025647,2,8,32799,32768,00000,00000
BCN,1893,1534,063713,2,8,025647,2,8,32799,32768,00000,00000
BCN,1894,0723,063713,2,8,025647,2,8,32799,32768,00000,00000
BCN,1895,1564,063713,2,8,025647,2,8,32799,32768,00000,00000
BCN,1896,1608,063713,2,8,025647,2,8,32799,32768,00000,00000
BCN,1897,1622,061548,2,8,024941,2,8,32800,32768,00000,00000
BCN,1898,0759,061548,2,8,024941,2,8,32800,32768,00000,00000
BCN,1899,0765,061548,2,8,024941,2,8,32800,32768,00000,00000
