BCN,5956,0844,063947,2,8,002760,2,9,32800,32768,00000,00000
BCN,5957,0778,063947,2,8,002760,2,9,32800,32768,0000<DAPLink:Overflow>
BCN,6861,060,05976,2,8,002552,2,9,32799,32767,00000,00000
BCN,6862,0809,059760,2,8,002552,2,9,32799,32767,00000,00000
BCN,6863,0799,059760,2,8,002552,2,9,32799,32767,00000,00000
BCN,6864,0779,070026,2,9,002607,2,9,32800,32768,00000,00000
BCN,6865,0789,070026,2,9,002607,2,9,32800,32768,00000,00000
BCN,6866,0789,070026,2,9,002607,2,9,32800,32768,00000,00000
BCN,6867,0860,070026,2,9,002607,2,9,32800,32768,00000,00000
BCN,6868,0858,070026,2,9,002607,2,9,32800,32768,00000,00000
BCN,6869,0859,070026,2,9,002607,2,9,32800,32768,00000,00000
BCN,6870,0783,063817,2,8,002774,2,9,32800,32768,00000,00000
BCN,6871,0859,063817,2,8,002774,2,9,32800,32768,00000,00000
BCN,6872,0861,063817,2,8,002774,2,9,32800,32768,00000,00000
BCN,6873,0858,063817,2,8,002774,2,9,32800,32768,00000,00000
BCN,6874,0779,063817,2,8,002774,2,9,32800,32768,00000,00000
BCN,6875,0859,063817,2,8,002774,2,9,32800,32768,00000,00000
BCN,6876,0863,066086,2,9,002743,2,9,32800,32768,00000,00000
BCN,6877,0860,066086,2,9,002743,2,9,32800,32768,00000,00000
BCN,6878,0779,066086,2,9,002743,2,9,32800,32768,00000,00000
BCN,6879,0776,066086,2,9,002743,2,9,32800,32768,00000,00000
BCN,6880,0779,066086,2,9,002743,2,9,32800,32768,00000,00000
BCN,6881,0776,066086,2,9,002743,2,9,32800,32768,00000,00000
BCN,6882,0863,066086,2,9,002743,2,9,32800,32768,00000,00000
BCN,6883,0860,060046,2,8,002680,2,9,32799,32768,00000,00000
BCN,6884,0862,060046,2,8,002680,2,9,32799,32768,00000,00000
BCN,6885,0860,060046,2,8,002680,2,9,32799,32768,00000,00000
BCN,6886,0848,060046,2,8,002680,2,9,32799,32768,00000,00000
BCN,6887,0776,060046,2,8,002680,2,9,32799,32768,00000,00000
BCN,6888,0828,060046,2,8,002680,2,9,32799,32768,00000,00000
BCN,6889,0860,064012,2,8,002521,2,8,32800,32768,00000,00000
BCN,6890,0844,064012,2,8,002521,2,8,32800,32768,00000,00000
BCN,6891,0845,064012,2,8,002521,2,8,32800,32768,00000,00000
BCN,6892,0863,064012,2,8,002521,2,8,32800,32768,00000,00000
BCN,6893,0776,064012,2,8,002521,2,8,32800,32768,00000,00000
BCN,6894,0779,064012,2,8,002521,2,8,32800,32768,00000,00000
BCN,6895,0855,064090,2,8,002388,2,8,32800,32767,00000,00000
BCN,6896,0779,064090,2,8,002388,2,8,32800,32767,00000,00000
BCN,6897,0776,064090,2,8,002388,2,8,32800,32767,00000,00000
BCN,6898,0863,064090,2,8,002388,2,8,32800,32767,00000,00000
BCN,6899,0779,064090,2,8,002388,2,8,32800,32767,00000,00000
BCN,6900,0781,064090,2,8,002388,2,8,32800,32767,00000,00000
BCN,6901,0776,063999,2,8,002623,2,9,32799,32768,00000,00000
BCN,6902,0780,063999,2,8,002623,2,9,32799,32768,00000,00000
BCN,6903,0777,063999,2,8,002623,2,9,32799,32768,00000,00000
BCN,6904,0863,063999,2,8,002623,2,9,32799,32768,00000,00000
BCN,6905,0860,063999,2,8,002623,2,9,32799,32768,00000,00000
BCN,6906,0863,063999,2,8,002623,2,9,32799,32768,00000,00000
BCN,6907,0777,059838,2,8,002720,2,9,32799,32768,00000,00000
BCN,6908,0863,059838,2,8,002720,2,9,32799,32768,00000,00000
BCN,6909,0860,059838,2,8,002720,2,9,32799,32768,00000,00000
BCN,6910,0863,059838,2,8,002720,2,9,32799,32768,00000,00000
BCN,6911,0776,059838,2,8,002720,2,9,32799,32768,00000,00000
BCN,6912,0863,059838,2,8,002720,2,9,32799,32768,00000,00000
BCN,6913,0839,070078,2,9,002762,2,9,32800,32768,00000,00000
BCN,6914,0863,070078,2,9,002762,2,9,32800,32768,00000,00000
BCN,6915,0828,070078,2,9,002762,2,9,32800,32768,00000,00000
BCN,6916,0838,070078,2,9,002762,2,9,32800,32768,00000,00000
BCN,6917,0776,070078,2,9,002762,2,9,32800,32768,00000,00000
BCN,6918,0849,070078,2,9,002762,2,9,32800,32768,00000,00000
BCN,6919,0860,070078,2,9,002762,2,9,32800,32768,00000,00000
BCN,6920,0863,063869,2,8,002705,2,9,32800,32768,00000,00000
BCN,6921,0783,063869,2,8,002705,2,9,32800,32768,00000,00000
