time (us),GPS_fixType,GPS_numSat,GPS_coord[0],GPS_coord[1],GPS_altitude,GPS_speed (m/s),GPS_ground_course,GPS_hdop,GPS_eph,GPS_epv,GPS_velned[0],GPS_velned[1],GPS_velned[2],GPS_home_lat,GPS_home_lon
180186227,2,11,37.4117784,-121.9950039,0,0.05,27.3,197,110,232,4,1,1,37.4117787,-121.9950041
180193813,2,11,37.4117784,-121.9950039,0,0.05,27.3,197,110,232,4,1,1,37.4117787,-121.9950041
180284826,2,11,37.4117783,-121.9950038,0,0.06,27.3,197,110,232,-6,0,9,37.4117787,-121.9950041
180385384,2,11,37.4117782,-121.9950037,0,0.03,27.3,197,110,232,3,-2,13,37.4117787,-121.9950041
180485771,2,11,37.4117781,-121.9950036,0,0.16,27.3,197,109,231,-14,8,9,37.4117787,-121.9950041
180586600,2,11,37.4117779,-121.9950035,0,0.07,27.3,197,109,231,-3,-6,12,37.4117787,-121.9950041
180687081,2,11,37.4117778,-121.9950035,0,0.03,27.3,197,109,231,0,-3,7,37.4117787,-121.9950041
180787211,2,11,37.4117777,-121.9950035,0,0.05,27.3,197,109,231,-5,-2,0,37.4117787,-121.9950041
180887803,2,11,37.4117777,-121.9950034,0,0.10,27.3,197,109,231,10,0,2,37.4117787,-121.9950041
181089812,2,11,37.4117776,-121.9950034,0,0.05,27.3,197,109,230,5,2,-4,37.4117787,-121.9950041
181190202,2,11,37.4117776,-121.9950033,0,0.08,27.3,197,109,230,6,6,-1,37.4117787,-121.9950041
181290711,2,11,37.4117775,-121.9950031,0,0.03,27.3,197,109,230,1,-3,0,37.4117787,-121.9950041
181371153,2,11,37.4117774,-121.9950030,0,0.07,27.3,197,109,229,-1,7,-3,37.4117787,-121.9950041
181471355,2,11,37.4117773,-121.9950028,0,0.05,27.3,197,109,229,4,-3,8,37.4117787,-121.9950041
181572350,2,11,37.4117772,-121.9950027,0,0.01,27.3,197,109,229,-1,0,3,37.4117787,-121.9950041
181692713,2,11,37.4117772,-121.9950025,0,0.05,27.3,197,108,229,5,2,-1,37.4117787,-121.9950041
181772915,2,11,37.4117771,-121.9950022,0,0.03,27.3,197,108,229,2,2,8,37.4117787,-121.9950041
181873390,2,11,37.4117770,-121.9950020,0,0.06,27.3,197,108,228,5,4,5,37.4117787,-121.9950041
181973850,2,11,37.4117769,-121.9950019,0,0.11,27.3,197,108,228,-1,-11,-2,37.4117787,-121.9950041
182074881,2,11,37.4117768,-121.9950018,0,0.02,27.3,197,108,228,2,1,2,37.4117787,-121.9950041
182175309,2,11,37.4117768,-121.9950016,0,0.04,27.3,197,108,228,4,0,-5,37.4117787,-121.9950041
182276193,2,11,37.4117768,-121.9950015,0,0.10,27.3,197,108,228,6,-7,0,37.4117787,-121.9950041
182327627,2,11,37.4117768,-121.9950015,0,0.10,27.3,197,108,228,6,-7,0,37.4117787,-121.9950041
182377374,2,11,37.4117768,-121.9950014,0,0.05,27.3,197,108,228,4,-2,-10,37.4117787,-121.9950041
182477710,2,11,37.4117768,-121.9950012,0,0.06,27.3,197,108,228,6,0,2,37.4117787,-121.9950041
182577825,2,11,37.4117767,-121.9950011,0,0.07,27.3,197,108,228,-5,-4,3,37.4117787,-121.9950041
182678237,2,11,37.4117767,-121.9950010,0,0.06,27.3,197,108,228,6,0,2,37.4117787,-121.9950041
182778727,2,11,37.4117767,-121.9950008,0,0.04,27.3,197,108,228,-2,4,1,37.4117787,-121.9950041
182879790,2,11,37.4117766,-121.9950007,0,0.04,27.3,197,108,227,-4,-2,-5,37.4117787,-121.9950041
182980298,2,11,37.4117766,-121.9950006,0,0.09,27.3,197,108,227,4,8,9,37.4117787,-121.9950041
183080785,2,11,37.4117766,-121.9950005,0,0.06,27.3,197,108,227,-6,1,-1,37.4117787,-121.9950041
183181403,2,11,37.4117765,-121.9950004,0,0.06,27.3,197,108,227,-3,5,0,37.4117787,-121.9950041
183282217,2,11,37.4117765,-121.9950002,0,0.03,27.3,197,107,227,2,-1,8,37.4117787,-121.9950041
183383193,2,11,37.4117764,-121.9950002,0,0.05,27.3,197,107,227,-5,2,4,37.4117787,-121.9950041
183483998,2,11,37.4117763,-121.9950001,0,0.04,27.3,197,107,227,-2,-3,6,37.4117787,-121.9950041
183685036,2,11,37.4117763,-121.9950000,0,0.04,27.3,197,107,227,2,-2,3,37.4117787,-121.9950041
183785076,2,11,37.4117763,-121.9950001,0,0.08,27.3,197,107,227,4,-7,0,37.4117787,-121.9950041
183885309,2,11,37.4117763,-121.9950000,0,0.03,27.3,197,107,227,2,-1,3,37.4117787,-121.9950041
183986561,2,11,37.4117763,-121.9949999,0,0.04,27.3,197,107,227,1,4,5,37.4117787,-121.9950041
184087119,2,11,37.4117762,-121.9949999,0,0.06,27.3,197,107,227,-6,0,-8,37.4117787,-121.9950041
184187763,2,11,37.4117762,-121.9949998,0,0.05,27.3,197,107,226,-1,4,-8,37.4117787,-121.9950041
184268194,2,11,37.4117761,-121.9949997,0,0.10,27.3,197,107,226,-6,7,-2,37.4117787,-121.9950041
184368850,2,11,37.4117760,-121.9949996,0,0.02,27.3,197,107,226,-1,1,-6,37.4117787,-121.9950041
184476658,2,11,37.4117760,-121.9949996,0,0.06,27.3,197,107,226,4,3,1,37.4117787,-121.9950041
184569580,2,11,37.4117761,-121.9949995,0,0.04,27.3,197,107,226,4,0,-5,37.4117787,-121.9950041
184770960,2,11,37.4117761,-121.9949994,0,0.04,27.3,197,107,226,-3,-1,1,37.4117787,-121.9950041
184972581,2,11,37.4117760,-121.9949994,0,0.08,27.3,197,107,225,-8,-1,4,37.4117787,-121.9950041
185173169,2,11,37.4117760,-121.9949995,0,0.04,27.3,197,107,225,4,-1,0,37.4117787,-121.9950041
185273566,2,11,37.4117759,-121.9949994,0,0.04,27.3,197,107,225,-4,-2,2,37.4117787,-121.9950041
185373981,2,11,37.4117759,-121.9949995,0,0.04,27.3,197,107,224,-4,0,-7,37.4117787,-121.9950041
185575962,2,11,37.4117758,-121.9949995,0,0.08,27.3,197,107,224,-7,-4,-6,37.4117787,-121.9950041
185776710,2,11,37.4117758,-121.9949994,0,0.06,27.3,197,107,224,6,2,-5,37.4117787,-121.9950041
185877908,2,11,37.4117759,-121.9949994,0,0.04,27.3,197,107,224,4,0,-7,37.4117787,-121.9950041
186179052,2,11,37.4117760,-121.9949993,0,0.05,27.3,197,107,223,5,1,12,37.4117787,-121.9950041
186480587,2,11,37.4117760,-121.9949994,0,0.13,27.3,197,107,223,4,-12,34,37.4117787,-121.9950041
186633710,2,11,37.4117760,-121.9949994,0,0.11,27.3,197,107,223,3,-10,42,37.4117787,-121.9950041
186681129,2,11,37.4117760,-121.9949993,0,0.21,27.3,197,107,223,12,-17,58,37.4117787,-121.9950041
186781358,2,11,37.4117760,-121.9949994,0,0.05,27.3,197,107,223,2,-5,51,37.4117787,-121.9950041
186882887,2,11,37.4117761,-121.9949994,0,0.22,27.3,197,107,222,9,-20,57,37.4117787,-121.9950041
187184134,2,11,37.4117761,-121.9949993,-1,0.12,27.3,197,107,222,-5,-10,74,37.4117787,-121.9950041
187264977,2,11,37.4117760,-121.9949992,-1,0.20,27.3,197,107,222,-20,-3,76,37.4117787,-121.9950041
187365667,2,11,37.4117757,-121.9949989,-1,0.34,27.3,197,107,222,-31,13,88,37.4117787,-121.9950041
187466067,2,11,37.4117754,-121.9949986,-1,0.42,82.0,197,107,222,-39,14,74,37.4117787,-121.9950041
187566551,2,11,37.4117751,-121.9949983,-1,0.36,113.4,197,107,221,-30,19,63,37.4117787,-121.9950041
187667029,2,11,37.4117749,-121.9949979,-1,0.38,114.3,197,107,221,-16,35,57,37.4117787,-121.9950041
187767182,2,11,37.4117748,-121.9949974,-1,0.48,101.0,197,106,221,0,48,53,37.4117787,-121.9950041
187867488,2,11,37.4117750,-121.9949968,-1,0.48,76.9,197,106,220,33,35,52,37.4117787,-121.9950041
187967576,2,11,37.4117754,-121.9949965,-1,0.80,24.2,197,106,220,79,13,57,37.4117787,-121.9950041
188067669,2,11,37.4117766,-121.9949967,-1,1.71,349.7,197,106,220,164,-47,25,37.4117787,-121.9950041
188168239,2,11,37.4117787,-121.9949980,-1,3.19,333.8,197,106,220,276,-159,-24,37.4117787,-121.9950041
188268571,2,11,37.4117822,-121.9950004,-1,5.52,333.5,197,105,219,494,-246,-144,37.4117787,-121.9950041
188370162,2,11,37.4117867,-121.9950032,-1,5.62,333.6,197,105,219,504,-248,-124,37.4117787,-121.9950041
188470762,2,11,37.4117910,-121.9950059,0,5.67,332.5,197,105,219,499,-270,-132,37.4117787,-121.9950041
188571679,2,11,37.4117956,-121.9950087,0,5.79,333.3,197,105,219,521,-251,-129,37.4117787,-121.9950041
188672375,2,11,37.4118003,-121.9950113,0,5.83,334.8,197,105,219,534,-233,-157,37.4117787,-121.9950041
188773322,2,11,37.4118050,-121.9950139,0,5.70,334.8,197,105,219,516,-242,-199,37.4117787,-121.9950041
188794769,2,11,37.4118050,-121.9950139,0,5.70,334.8,197,105,219,516,-242,-199,37.4117787,-121.9950041
188873909,2,11,37.4118096,-121.9950160,0,5.49,337.6,197,105,219,519,-177,-227,37.4117787,-121.9950041
188974448,2,11,37.4118143,-121.9950176,0,5.36,341.5,197,105,220,520,-130,-249,37.4117787,-121.9950041
189075927,2,11,37.4118193,-121.9950186,0,5.85,347.9,197,105,220,581,-65,-262,37.4117787,-121.9950041
189176441,2,11,37.4118247,-121.9950191,0,6.41,352.4,197,105,220,640,-44,-232,37.4117787,-121.9950041
189277339,2,11,37.4118308,-121.9950195,1,7.09,355.0,197,105,219,707,-43,-225,37.4117787,-121.9950041
189378068,2,11,37.4118373,-121.9950201,1,7.36,355.7,197,105,219,734,-46,-208,37.4117787,-121.9950041
189478631,2,11,37.4118441,-121.9950208,1,7.79,355.5,197,105,219,776,-60,-198,37.4117787,-121.9950041
189579018,2,11,37.4118515,-121.9950216,1,8.36,354.7,197,105,219,832,-76,-203,37.4117787,-121.9950041
189680256,2,11,37.4118593,-121.9950225,1,8.82,354.8,197,105,218,879,-79,-180,37.4117787,-121.9950041
189780784,2,11,37.4118673,-121.9950234,1,8.98,354.0,197,105,218,893,-93,-210,37.4117787,-121.9950041
189881935,2,11,37.4118754,-121.9950246,2,9.08,351.8,197,104,218,899,-128,-270,37.4117787,-121.9950041
189983346,2,11,37.4118836,-121.9950263,2,9.35,349.1,197,104,218,919,-175,-320,37.4117787,-121.9950041
190063870,2,11,37.4118921,-121.9950284,2,9.83,348.4,197,104,217,963,-196,-287,37.4117787,-121.9950041
190164623,2,11,37.4119011,-121.9950306,2,10.31,348.8,197,104,217,1011,-199,-254,37.4117787,-121.9950041
190265123,2,11,37.4119103,-121.9950331,3,10.51,347.7,197,104,217,1027,-222,-233,37.4117787,-121.9950041
190367504,2,11,37.4119198,-121.9950357,3,10.61,347.4,197,104,217,1036,-231,-265,37.4117787,-121.9950041
190467885,2,11,37.4119294,-121.9950384,3,10.98,346.8,197,104,217,1069,-250,-289,37.4117787,-121.9950041
190569250,2,11,37.4119389,-121.9950414,3,10.58,345.1,197,104,216,1023,-271,-352,37.4117787,-121.9950041
190669794,2,11,37.4119479,-121.9950446,4,10.06,342.6,197,104,216,960,-299,-457,37.4117787,-121.9950041
190771029,2,11,37.4119564,-121.9950482,4,9.67,340.0,197,103,216,909,-330,-550,37.4117787,-121.9950041
190871388,2,11,37.4119645,-121.9950519,5,9.48,339.5,197,103,216,888,-331,-594,37.4117787,-121.9950041
190920389,2,11,37.4119645,-121.9950519,5,9.48,339.5,197,103,216,888,-331,-594,37.4117787,-121.9950041
190972192,2,11,37.4119725,-121.9950552,6,9.31,341.5,197,103,215,883,-295,-638,37.4117787,-121.9950041
191073509,2,11,37.4119804,-121.9950584,6,9.45,341.9,197,103,215,899,-292,-629,37.4117787,-121.9950041
191173965,2,11,37.4119885,-121.9950615,7,9.61,343.0,197,103,215,919,-279,-618,37.4117787,-121.9950041
191274394,2,11,37.4119968,-121.9950643,8,9.77,345.2,197,103,215,945,-248,-587,37.4117787,-121.9950041
191374960,2,11,37.4120053,-121.9950669,8,9.85,346.4,197,103,215,958,-231,-565,37.4117787,-121.9950041
191475316,2,11,37.4120139,-121.9950692,9,10.07,347.6,197,103,215,984,-215,-545,37.4117787,-121.9950041
