t_s,cell,phase,throttle,elevator_trim,axis,amplitude,cmd_aileron,cmd_elevator,cmd_throttle,elev_trimmed,rate_p,rate_q,rate_r,phi,theta,psi,vel_x,vel_y,vel_z,v_rel_airmass,pos_x,pos_y,pos_z,flight_cl
0.105000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.001046,0.450000,-0.001046,-0.145195,-0.269910,0.312912,-0.009344,-0.001811,3.158865,-41.658561,0.128945,1.684770,31.955936,-4.575257,0.006738,-899.924684,0.414214
0.110000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.001133,0.450000,-0.001133,-0.149225,-0.289325,0.326055,-0.010084,-0.003193,3.160476,-41.604133,0.135626,1.742359,31.918994,-4.784808,0.007399,-899.916116,0.421488
0.115000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.001223,0.450000,-0.001223,-0.152636,-0.307821,0.339093,-0.010846,-0.004669,3.162155,-41.550920,0.142406,1.798008,31.864515,-4.994087,0.008094,-899.907265,0.429294
0.120000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.001315,0.450000,-0.001315,-0.156410,-0.322832,0.351988,-0.011628,-0.006226,3.163900,-41.498873,0.149275,1.855005,31.838945,-5.203102,0.008823,-899.898132,0.429111
0.125000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.001411,0.450000,-0.001411,-0.159765,-0.337886,0.364586,-0.012431,-0.007856,3.165711,-41.448151,0.156190,1.909653,31.799606,-5.411858,0.009587,-899.888721,0.434968
0.130000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.001509,0.450000,-0.001509,-0.163215,-0.351281,0.376921,-0.013255,-0.009555,3.167587,-41.398850,0.163165,1.963598,31.742254,-5.620362,0.010385,-899.879038,0.439162
0.135000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.001610,0.450000,-0.001610,-0.166447,-0.361769,0.389051,-0.014099,-0.011311,3.169526,-41.350972,0.170180,2.018980,31.714035,-5.828622,0.011218,-899.869081,0.437488
0.140000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.001714,0.450000,-0.001714,-0.169193,-0.370678,0.401137,-0.014963,-0.013114,3.171528,-41.304528,0.177296,2.074703,31.693866,-6.036644,0.012087,-899.858847,0.436086
0.145000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.001820,0.450000,-0.001820,-0.171811,-0.376966,0.413157,-0.015844,-0.014951,3.173593,-41.259500,0.184500,2.132022,31.648723,-6.244437,0.012992,-899.848330,0.431392
0.150000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.001930,0.450000,-0.001930,-0.174140,-0.382427,0.425069,-0.016743,-0.016815,3.175719,-41.216225,0.191774,2.189749,31.607966,-6.452007,0.013932,-899.837526,0.429552
