time (us),GPS_fixType,GPS_numSat,GPS_coord[0],GPS_coord[1],GPS_altitude,GPS_speed (m/s),GPS_ground_course,GPS_hdop,GPS_eph,GPS_epv,GPS_velned[0],GPS_velned[1],GPS_velned[2],GPS_home_lat,GPS_home_lon
259070138,2,9,37.4117338,-121.9949646,6,0.03,63.6,202,173,293,2,2,0,37.4117341,-121.9949633
259077903,2,9,37.4117338,-121.9949646,6,0.03,63.6,202,173,293,2,2,0,37.4117341,-121.9949633
259089816,2,9,37.4117338,-121.9949647,6,0.10,63.6,202,173,294,-6,-7,2,37.4117341,-121.9949633
259190650,2,9,37.4117338,-121.9949649,6,0.07,63.6,202,173,295,-1,-7,0,37.4117341,-121.9949633
259291285,2,9,37.4117338,-121.9949650,6,0.05,63.6,202,174,296,2,-5,-2,37.4117341,-121.9949633
259391957,2,9,37.4117338,-121.9949653,6,0.15,63.6,202,174,297,-10,-11,-11,37.4117341,-121.9949633
259492660,2,9,37.4117337,-121.9949656,6,0.20,63.6,202,174,298,-8,-19,-13,37.4117341,-121.9949633
259593253,2,9,37.4117338,-121.9949657,6,0.02,63.6,202,174,299,2,0,-20,37.4117341,-121.9949633
259694301,2,9,37.4117338,-121.9949659,6,0.11,63.6,202,175,300,-5,-10,-31,37.4117341,-121.9949633
259795188,2,9,37.4117339,-121.9949660,6,0.12,63.6,202,175,300,12,0,-16,37.4117341,-121.9949633
259895618,2,9,37.4117340,-121.9949660,5,0.11,63.6,202,175,301,-3,11,-22,37.4117341,-121.9949633
259995951,2,9,37.4117342,-121.9949657,5,0.20,63.6,202,175,302,6,19,-19,37.4117341,-121.9949633
260096436,2,9,37.4117343,-121.9949658,5,0.04,63.6,202,175,303,2,-4,-13,37.4117341,-121.9949633
260297510,2,9,37.4117343,-121.9949660,5,0.08,63.6,202,176,305,-4,-7,-15,37.4117341,-121.9949633
260398059,2,9,37.4117342,-121.9949664,5,0.26,63.6,202,176,306,-1,-26,-9,37.4117341,-121.9949633
260498313,2,9,37.4117343,-121.9949666,5,0.20,63.6,202,176,306,-2,-20,-25,37.4117341,-121.9949633
260598485,2,9,37.4117344,-121.9949665,5,0.05,63.6,202,176,307,-3,-4,-40,37.4117341,-121.9949633
260699148,2,9,37.4117345,-121.9949663,5,0.08,63.6,202,176,307,7,4,-25,37.4117341,-121.9949633
260799728,2,9,37.4117346,-121.9949661,5,0.08,63.6,202,176,306,5,6,-13,37.4117341,-121.9949633
260900566,2,9,37.4117345,-121.9949660,5,0.05,63.6,202,176,305,-2,-5,-14,37.4117341,-121.9949633
261001702,2,9,37.4117345,-121.9949658,5,0.06,63.6,202,176,304,6,0,-3,37.4117341,-121.9949633
261102406,2,9,37.4117344,-121.9949657,5,0.06,63.6,202,176,302,-6,0,-14,37.4117341,-121.9949633
261202803,2,9,37.4117342,-121.9949657,5,0.17,63.6,202,175,301,-16,-5,-3,37.4117341,-121.9949633
