time (us),GPS_fixType,GPS_numSat,GPS_coord[0],GPS_coord[1],GPS_altitude,GPS_speed (m/s),GPS_ground_course,GPS_hdop,GPS_eph,GPS_epv,GPS_velned[0],GPS_velned[1],GPS_velned[2],GPS_home_lat,GPS_home_lon
123793032,2,11,37.4117093,-121.9949885,-4,0.04,115.8,214,130,268,-3,2,-8,37.4117081,-121.9949899
123796133,2,11,37.4117092,-121.9949886,-4,0.14,115.8,214,130,269,-10,-9,0,37.4117081,-121.9949899
123800685,2,11,37.4117092,-121.9949886,-4,0.14,115.8,214,130,269,-10,-9,0,37.4117081,-121.9949899
123897172,2,11,37.4117092,-121.9949887,-4,0.09,115.8,214,130,269,-6,-6,-9,37.4117081,-121.9949899
123997821,2,11,37.4117091,-121.9949888,-4,0.10,115.8,214,130,269,-7,-6,-1,37.4117081,-121.9949899
124098750,2,11,37.4117090,-121.9949890,-4,0.08,115.8,214,130,269,-4,-6,-11,37.4117081,-121.9949899
124280073,2,11,37.4117089,-121.9949891,-4,0.05,115.8,214,131,270,-5,0,-13,37.4117081,-121.9949899
124380449,2,11,37.4117090,-121.9949891,-4,0.07,115.8,214,131,270,7,1,-20,37.4117081,-121.9949899
124480934,2,12,37.4117091,-121.9949891,-4,0.12,115.8,195,131,270,7,-10,-25,37.4117081,-121.9949899
124581627,2,12,37.4117092,-121.9949891,-4,0.05,115.8,195,131,270,4,-2,-25,37.4117081,-121.9949899
124682330,2,12,37.4117093,-121.9949891,-4,0.11,115.8,195,131,270,4,-10,-15,37.4117081,-121.9949899
124984679,2,12,37.4117094,-121.9949890,-4,0.06,115.8,195,132,271,-1,-6,2,37.4117081,-121.9949899
125085341,2,12,37.4117095,-121.9949889,-3,0.08,115.8,195,132,271,0,8,-15,37.4117081,-121.9949899
125185844,2,11,37.4117096,-121.9949888,-3,0.19,115.8,214,132,271,-3,18,-24,37.4117081,-121.9949899
125286616,2,11,37.4117097,-121.9949887,-3,0.11,115.8,214,132,272,9,5,-23,37.4117081,-121.9949899
125387388,2,11,37.4117098,-121.9949886,-3,0.08,115.8,214,132,272,-2,7,-27,37.4117081,-121.9949899
125488405,2,11,37.4117099,-121.9949887,-3,0.06,115.8,214,132,273,-6,1,-33,37.4117081,-121.9949899
125589688,2,11,37.4117099,-121.9949888,-3,0.10,115.8,214,133,273,-8,-6,-40,37.4117081,-121.9949899
125689785,2,11,37.4117100,-121.9949889,-3,0.06,115.8,214,133,274,2,-6,-37,37.4117081,-121.9949899
125790624,2,10,37.4117100,-121.9949889,-3,0.09,115.8,253,133,274,0,-9,-26,37.4117081,-121.9949899
125891421,2,10,37.4117100,-121.9949890,-3,0.02,115.8,253,133,275,1,-2,-37,37.4117081,-121.9949899
125930217,2,10,37.4117100,-121.9949890,-3,0.02,115.8,253,133,275,1,-2,-37,37.4117081,-121.9949899
125992494,2,10,37.4117102,-121.9949891,-3,0.18,115.8,253,133,275,14,-11,-37,37.4117081,-121.9949899
126193679,2,11,37.4117105,-121.9949893,-3,0.05,115.8,214,134,276,4,-3,-32,37.4117081,-121.9949899
126294589,2,11,37.4117106,-121.9949894,-3,0.09,115.8,214,134,276,9,0,-9,37.4117081,-121.9949899
126395311,2,11,37.4117107,-121.9949895,-3,0.09,115.8,214,134,276,7,-5,1,37.4117081,-121.9949899
126476434,2,11,37.4117108,-121.9949895,-3,0.04,115.8,214,134,276,0,-4,14,37.4117081,-121.9949899
126597187,2,12,37.4117107,-121.9949894,-3,0.01,115.8,195,134,276,-1,1,25,37.4117081,-121.9949899
126677934,2,12,37.4117107,-121.9949893,-3,0.09,115.8,195,134,276,0,-9,35,37.4117081,-121.9949899
126878685,2,12,37.4117106,-121.9949891,-3,0.03,115.8,195,134,276,-2,2,48,37.4117081,-121.9949899
