loopIteration,time (us),axisRate[0],axisRate[1],axisRate[2],axisP[0],axisP[1],axisP[2],axisI[0],axisI[1],axisI[2],axisD[0],axisD[1],axisF[0],axisF[1],axisF[2],rcData[0],rcData[1],rcData[2],rcData[3],rcCommand[0],rcCommand[1],rcCommand[2],rcCommand[3],vbat (V),magADC[0],magADC[1],magADC[2],BaroAlt (cm),rssi,gyroADC[0],gyroADC[1],gyroADC[2],gyroRaw[0],gyroRaw[1],gyroRaw[2],accSmooth[0],accSmooth[1],accSmooth[2],accVib,quaternion[0],quaternion[1],quaternion[2],quaternion[3],motor[0],servo[0],servo[1],navState,navFlags,navEPH,navEPV,navPos[0],navPos[1],navPos[2],navVel[0],navVel[1],navVel[2],navTgtVel[0],navTgtVel[1],navTgtVel[2],navTgtPos[0],navTgtPos[1],navTgtPos[2],navTgtHdg,navSurf,activeWpNumber,flightModeFlags (flags),activeFlightModeFlags,stateFlags (flags),failsafePhase (flags),rxSignalReceived,rxFlightChannelsValid,rxUpdateRate,hwHealthStatus,powerSupplyImpedance,sagCompensatedVBat,wind[0],wind[1],wind[2],mspOverrideFlags,IMUTemperature,baroTemperature,sens0Temp,sens1Temp,sens2Temp,sens3Temp,sens4Temp,sens5Temp,sens6Temp,sens7Temp,escRPM,escTemperature
0,259069436,0,48,0,0,1,1,0,0,0,0,0,0,108,0,1500,1500,1500,987,0,0,0,1050,12.540,268,-363,-1219,69,1023,0,4,-2,0,5,-2,573,-42,1965,41,-9801,-176,1372,-1423,1000,1609,1389,26,37,170,257,137,102,0,5,1,3,0,0,0,0,0,0,0,0,1,ARM,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,120,341,0,0,0,0,0,1,404,417,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
32,259086249,0,48,0,0,1,1,0,0,0,0,0,0,108,0,1500,1500,1500,987,0,0,0,1050,12.540,286,-359,-1196,69,1023,0,5,-2,0,5,-2,562,-38,1963,39,-9802,-175,1366,-1421,1000,1609,1389,26,37,170,257,137,102,0,5,1,4,0,0,0,0,0,0,0,0,1,ARM,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,120,341,0,0,0,0,0,1,404,417,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
64,259102908,0,48,0,0,1,1,0,0,0,0,0,0,108,0,1500,1500,1500,987,0,0,0,1050,12.550,286,-359,-1196,69,1023,1,5,-2,2,5,-2,563,-23,1940,38,-9804,-175,1359,-1418,1000,1609,1391,26,37,170,257,137,102,0,5,1,4,0,0,0,0,0,0,0,0,1,ARM,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,162,341,0,0,0,0,0,1,404,417,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
96,259119529,0,47,0,0,1,1,0,0,0,0,0,0,108,0,1500,1498,1500,987,0,0,0,1050,12.550,286,-359,-1196,69,1023,2,4,-2,3,4,-2,563,-10,1917,38,-9805,-176,1353,-1415,1000,1609,1391,26,37,170,257,137,102,0,5,0,4,0,0,0,0,0,0,0,0,1,ARM,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,138,341,0,0,0,0,0,1,404,417,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
128,259136220,0,47,0,0,1,1,0,0,0,0,0,0,107,0,1500,1500,1500,987,0,0,0,1050,12.550,286,-359,-1196,69,1023,2,4,-2,2,4,-2,553,-9,1922,36,-9806,-179,1347,-1413,1000,1609,1391,26,37,170,257,137,102,0,5,0,4,0,0,0,0,0,0,0,0,1,ARM,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,138,341,0,0,0,0,0,1,404,417,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
160,259152666,0,47,0,0,1,0,0,0,0,0,0,0,107,0,1500,1500,1500,987,0,0,0,1050,12.550,286,-359,-1196,69,1023,1,3,-1,0,3,-1,540,-30,1936,36,-9807,-181,1342,-1410,1000,1608,1392,26,37,170,258,137,102,0,4,0,4,0,0,0,0,0,0,0,0,1,ARM,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,114,341,0,0,0,0,0,1,404,417,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
192,259169514,0,47,0,1,1,0,0,0,0,0,0,0,107,0,1500,1500,1500,987,0,0,0,1050,12.550,286,-359,-1196,69,1023,-2,3,0,-4,2,1,527,-45,1947,36,-9808,-179,1338,-1409,1000,1606,1390,26,37,170,258,137,101,0,4,0,4,0,0,0,0,0,0,0,0,1,ARM,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,147,341,0,0,0,0,0,1,404,417,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
224,259186497,0,47,0,2,1,0,0,0,0,0,0,0,106,0,1500,1500,1500,987,0,0,0,1050,12.550,283,-355,-1196,69,1023,-5,1,1,-6,1,2,515,-51,1944,34,-9808,-172,1336,-1410,1000,1605,1389,26,37,170,258,137,101,0,4,0,5,0,0,0,0,0,0,0,0,1,ARM,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,161,341,0,0,0,0,0,1,404,417,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
256,259203251,0,47,0,3,1,-1,0,0,0,0,0,0,106,0,1500,1500,1500,987,0,0,0,1050,12.550,283,-355,-1196,69,1023,-6,0,2,-6,0,3,509,-53,1933,33,-9808,-163,1337,-1412,1000,1604,1388,26,37,170,258,137,101,0,3,0,5,0,0,0,0,0,0,0,0,1,ARM,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,112,341,0,0,0,0,0,1,404,417,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
288,259219955,0,47,0,2,1,-1,0,0,0,0,0,1,106,0,1500,1500,1500,987,0,0,0,1050,12.550,283,-355,-1196,77,1023,-5,0,3,-4,-1,3,500,-46,1928,31,-9807,-154,1338,-1414,1000,1603,1389,26,37,170,258,137,101,0,3,0,5,0,0,0,0,0,0,0,0,1,ARM,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,112,341,0,0,0,0,0,1,404,417,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
