time (us),GPS_fixType,GPS_numSat,GPS_coord[0],GPS_coord[1],GPS_altitude,GPS_speed (m/s),GPS_ground_course,GPS_hdop,GPS_eph,GPS_epv,GPS_velned[0],GPS_velned[1],GPS_velned[2],GPS_home_lat,GPS_home_lon
159420042,2,10,37.4117385,-121.9950714,1,0.05,150.4,239,152,263,-2,4,15,37.4117392,-121.9950715
159427768,2,10,37.4117385,-121.9950714,1,0.05,150.4,239,152,263,-2,4,15,37.4117392,-121.9950715
159440613,2,10,37.4117385,-121.9950715,1,0.05,150.4,239,152,263,4,-3,16,37.4117392,-121.9950715
159541238,2,10,37.4117386,-121.9950717,1,0.14,150.4,239,152,263,9,-11,9,37.4117392,-121.9950715
159641208,2,10,37.4117387,-121.9950719,1,0.13,150.4,239,152,264,11,-6,2,37.4117392,-121.9950715
159742142,2,10,37.4117386,-121.9950721,1,0.16,150.4,239,152,264,1,-16,3,37.4117392,-121.9950715
159842569,2,10,37.4117386,-121.9950724,1,0.16,150.4,239,152,265,5,-15,-1,37.4117392,-121.9950715
159943106,2,10,37.4117385,-121.9950728,1,0.18,150.4,239,152,265,-7,-16,-7,37.4117392,-121.9950715
160043659,2,10,37.4117385,-121.9950731,1,0.22,150.4,239,152,266,8,-20,-21,37.4117392,-121.9950715
160143982,2,10,37.4117384,-121.9950735,1,0.15,150.4,239,152,266,3,-14,-12,37.4117392,-121.9950715
160244693,2,10,37.4117383,-121.9950738,1,0.15,150.4,239,152,267,0,-15,-13,37.4117392,-121.9950715
160345412,2,10,37.4117383,-121.9950742,1,0.17,150.4,239,152,267,6,-16,-13,37.4117392,-121.9950715
160446083,2,10,37.4117382,-121.9950744,1,0.08,150.4,239,152,268,0,-8,-17,37.4117392,-121.9950715
160526867,2,10,37.4117382,-121.9950747,1,0.17,150.4,239,152,269,11,-12,-14,37.4117392,-121.9950715
160627742,2,10,37.4117383,-121.9950749,1,0.18,150.4,239,152,269,1,-18,-18,37.4117392,-121.9950715
160727866,2,10,37.4117383,-121.9950751,1,0.18,150.4,239,152,270,3,-18,-23,37.4117392,-121.9950715
160828524,2,10,37.4117384,-121.9950752,1,0.03,150.4,239,152,270,0,-3,-29,37.4117392,-121.9950715
160929544,2,10,37.4117384,-121.9950753,2,0.17,150.4,239,152,271,-10,-13,-28,37.4117392,-121.9950715
161029912,2,10,37.4117383,-121.9950754,2,0.15,150.4,239,152,272,-7,-13,-22,37.4117392,-121.9950715
161130792,2,10,37.4117383,-121.9950753,2,0.06,150.4,239,152,272,-3,5,-16,37.4117392,-121.9950715
161231498,2,10,37.4117384,-121.9950751,2,0.05,150.4,239,152,273,-3,3,-21,37.4117392,-121.9950715
161332377,2,10,37.4117384,-121.9950750,2,0.01,150.4,239,152,274,0,0,-22,37.4117392,-121.9950715
161433272,2,10,37.4117385,-121.9950750,2,0.02,150.4,239,153,274,2,0,-17,37.4117392,-121.9950715
161533856,2,10,37.4117386,-121.9950749,2,0.02,150.4,239,153,275,2,0,-17,37.4117392,-121.9950715
161556631,2,10,37.4117386,-121.9950749,2,0.02,150.4,239,153,275,2,0,-17,37.4117392,-121.9950715
161634678,2,10,37.4117386,-121.9950748,2,0.03,150.4,239,153,275,-3,0,-17,37.4117392,-121.9950715
161735487,2,10,37.4117387,-121.9950748,2,0.03,150.4,239,153,276,0,-3,-12,37.4117392,-121.9950715
161835994,2,10,37.4117388,-121.9950747,2,0.01,150.4,239,153,276,0,-1,-11,37.4117392,-121.9950715
161936690,2,10,37.4117389,-121.9950746,2,0.05,150.4,239,153,277,5,-2,-17,37.4117392,-121.9950715
162037571,2,10,37.4117390,-121.9950745,2,0.07,150.4,239,154,278,7,-1,-13,37.4117392,-121.9950715
162138362,2,10,37.4117391,-121.9950746,2,0.12,150.4,239,154,278,10,-7,2,37.4117392,-121.9950715
162239342,2,10,37.4117392,-121.9950745,2,0.06,150.4,239,154,279,6,0,12,37.4117392,-121.9950715
162339755,2,10,37.4117394,-121.9950744,2,0.19,150.4,239,154,279,18,3,34,37.4117392,-121.9950715
162440732,2,10,37.4117395,-121.9950744,2,0.22,150.4,239,154,280,21,5,68,37.4117392,-121.9950715
162541709,2,10,37.4117396,-121.9950744,2,0.23,150.4,239,154,280,18,13,91,37.4117392,-121.9950715
162643092,2,10,37.4117397,-121.9950743,2,0.25,150.4,239,154,281,19,15,119,37.4117392,-121.9950715
162743218,2,10,37.4117398,-121.9950744,2,0.26,150.4,239,154,281,24,9,154,37.4117392,-121.9950715
162823839,2,10,37.4117398,-121.9950745,2,0.18,150.4,239,154,282,15,10,181,37.4117392,-121.9950715
163126096,2,10,37.4117397,-121.9950745,2,0.25,150.4,239,155,283,11,22,236,37.4117392,-121.9950715
163226543,2,10,37.4117397,-121.9950747,2,0.20,150.4,239,154,283,15,13,254,37.4117392,-121.9950715
163327498,2,10,37.4117397,-121.9950748,2,0.22,150.4,239,154,284,7,21,260,37.4117392,-121.9950715
163629885,2,10,37.4117397,-121.9950749,2,0.23,150.4,239,154,285,4,22,247,37.4117392,-121.9950715
163678948,2,10,37.4117397,-121.9950749,2,0.23,150.4,239,154,285,4,22,247,37.4117392,-121.9950715
163730831,2,10,37.4117397,-121.9950748,2,0.23,150.4,239,154,285,7,22,237,37.4117392,-121.9950715
163831274,2,10,37.4117397,-121.9950749,2,0.19,150.4,239,154,285,1,19,220,37.4117392,-121.9950715
163932142,2,10,37.4117396,-121.9950749,2,0.23,150.4,239,154,285,-7,22,208,37.4117392,-121.9950715
164234272,2,10,37.4117396,-121.9950750,2,0.16,150.4,239,154,287,-3,16,149,37.4117392,-121.9950715
164335411,2,10,37.4117394,-121.9950751,2,0.24,150.4,239,154,287,-24,2,135,37.4117392,-121.9950715
164436013,2,10,37.4117391,-121.9950752,2,0.36,150.4,239,154,287,-35,7,119,37.4117392,-121.9950715
164537265,2,10,37.4117388,-121.9950753,2,0.53,150.4,239,153,287,-50,16,90,37.4117392,-121.9950715
164637987,2,10,37.4117384,-121.9950753,2,0.35,150.4,239,153,287,-34,6,71,37.4117392,-121.9950715
164738853,2,10,37.4117381,-121.9950752,2,0.41,150.4,239,153,288,-38,16,67,37.4117392,-121.9950715
164840020,2,10,37.4117378,-121.9950751,2,0.34,150.4,239,153,288,-30,15,62,37.4117392,-121.9950715
164940378,2,10,37.4117378,-121.9950749,2,0.24,150.4,239,153,288,3,24,54,37.4117392,-121.9950715
165041067,2,10,37.4117381,-121.9950748,2,0.57,150.4,239,153,288,56,11,50,37.4117392,-121.9950715
165121527,2,10,37.4117391,-121.9950749,2,1.28,37.6,239,153,289,128,0,24,37.4117392,-121.9950715
165242170,2,10,37.4117411,-121.9950756,2,2.59,357.0,239,153,289,253,-57,-42,37.4117392,-121.9950715
165322536,2,10,37.4117448,-121.9950768,3,4.74,349.1,239,153,289,461,-112,-118,37.4117392,-121.9950715
165423742,2,10,37.4117492,-121.9950784,3,5.10,346.4,239,153,289,490,-140,-110,37.4117392,-121.9950715
165524179,2,10,37.4117539,-121.9950801,3,5.50,345.3,239,153,290,531,-145,-112,37.4117392,-121.9950715
165624862,2,10,37.4117594,-121.9950812,3,6.28,348.7,239,153,290,621,-95,-128,37.4117392,-121.9950715
165725476,2,10,37.4117652,-121.9950826,4,6.70,348.6,239,153,290,657,-132,-143,37.4117392,-121.9950715
165803576,2,10,37.4117652,-121.9950826,4,6.70,348.6,239,153,290,657,-132,-143,37.4117392,-121.9950715
165827101,2,10,37.4117715,-121.9950841,4,7.20,348.7,239,153,290,706,-140,-152,37.4117392,-121.9950715
165927652,2,10,37.4117783,-121.9950855,4,7.64,349.4,239,153,290,753,-129,-159,37.4117392,-121.9950715
166028399,2,10,37.4117855,-121.9950872,4,8.32,349.1,239,153,291,817,-157,-166,37.4117392,-121.9950715
166128500,2,10,37.4117930,-121.9950896,4,8.65,345.4,239,153,291,837,-217,-168,37.4117392,-121.9950715
166228821,2,10,37.4118010,-121.9950919,5,9.20,347.0,239,153,291,896,-206,-177,37.4117392,-121.9950715
166329714,2,10,37.4118095,-121.9950943,5,9.79,347.4,239,153,291,955,-213,-191,37.4117392,-121.9950715
166429840,2,10,37.4118185,-121.9950967,5,10.28,347.6,239,153,291,1004,-219,-186,37.4117392,-121.9950715
166530151,2,10,37.4118278,-121.9950992,5,10.50,348.2,239,153,291,1028,-213,-206,37.4117392,-121.9950715
166630647,2,10,37.4118371,-121.9951022,6,10.32,344.6,239,153,291,996,-272,-266,37.4117392,-121.9950715
166731435,2,10,37.4118458,-121.9951058,6,9.68,340.3,239,152,291,912,-324,-368,37.4117392,-121.9950715
166831840,2,10,37.4118537,-121.9951099,7,8.86,336.1,239,152,292,810,-359,-484,37.4117392,-121.9950715
166932429,2,10,37.4118608,-121.9951142,7,8.34,333.8,239,152,292,749,-368,-549,37.4117392,-121.9950715
167033390,2,10,37.4118674,-121.9951186,8,8.10,331.6,239,152,293,713,-384,-591,37.4117392,-121.9950715
167134441,2,10,37.4118738,-121.9951232,9,8.00,328.7,239,152,293,684,-414,-633,37.4117392,-121.9950715
167235499,2,10,37.4118800,-121.9951281,10,8.14,327.4,239,152,293,686,-438,-649,37.4117392,-121.9950715
167336191,2,10,37.4118863,-121.9951333,11,8.37,326.2,239,152,294,696,-464,-654,37.4117392,-121.9950715
167436361,2,10,37.4118927,-121.9951386,11,8.66,327.1,239,152,294,728,-470,-648,37.4117392,-121.9950715
167536450,2,10,37.4118994,-121.9951440,12,8.82,327.6,239,152,295,746,-472,-642,37.4117392,-121.9950715
167637331,2,10,37.4119063,-121.9951494,13,8.93,328.3,239,151,294,761,-468,-646,37.4117392,-121.9950715
167737753,2,10,37.4119133,-121.9951546,13,9.07,328.8,239,151,294,776,-468,-639,37.4117392,-121.9950715
167838991,2,10,37.4119205,-121.9951598,14,9.23,329.7,239,151,293,797,-465,-638,37.4117392,-121.9950715
167919612,2,10,37.4119278,-121.9951649,15,9.28,330.4,239,151,293,808,-457,-633,37.4117392,-121.9950715
167956573,2,10,37.4119278,-121.9951649,15,9.28,330.4,239,151,293,808,-457,-633,37.4117392,-121.9950715
168020232,2,10,37.4119352,-121.9951701,15,9.48,330.1,239,150,293,822,-472,-633,37.4117392,-121.9950715
168121044,2,10,37.4119428,-121.9951753,16,9.67,331.1,239,150,293,848,-466,-621,37.4117392,-121.9950715
168222506,2,10,37.4119507,-121.9951806,17,9.99,331.9,239,150,293,881,-470,-595,37.4117392,-121.9950715
168323466,2,10,37.4119589,-121.9951855,17,10.28,334.1,239,150,293,925,-447,-560,37.4117392,-121.9950715
168425001,2,10,37.4119674,-121.9951901,18,10.26,336.9,239,150,293,944,-402,-558,37.4117392,-121.9950715
168525338,2,10,37.4119761,-121.9951943,18,10.25,339.2,239,150,293,958,-363,-563,37.4117392,-121.9950715
168625825,2,10,37.4119850,-121.9951980,19,10.29,342.0,239,150,293,979,-316,-565,37.4117392,-121.9950715
168726551,2,10,37.4119937,-121.9952011,20,9.80,344.8,239,150,293,946,-256,-604,37.4117392,-121.9950715
168826822,2,10,37.4120020,-121.9952033,20,8.88,348.4,239,150,293,869,-178,-680,37.4117392,-121.9950715
168927423,2,10,37.4120098,-121.9952048,21,8.40,351.6,239,149,293,831,-122,-744,37.4117392,-121.9950715
169028025,2,10,37.4120173,-121.9952060,22,8.42,353.1,239,150,293,836,-100,-744,37.4117392,-121.9950715
169128735,2,10,37.4120249,-121.9952067,23,8.43,356.4,239,150,293,842,-52,-753,37.4117392,-121.9950715
169229308,2,10,37.4120324,-121.9952073,24,8.53,356.8,239,150,294,852,-47,-742,37.4117392,-121.9950715
169329701,2,10,37.4120400,-121.9952076,24,8.65,358.2,239,150,294,865,-26,-721,37.4117392,-121.9950715
169430831,2,10,37.4120479,-121.9952078,25,9.02,358.8,239,150,295,902,-17,-694,37.4117392,-121.9950715
169531668,2,10,37.4120560,-121.9952080,26,9.25,359.4,239,150,295,925,-8,-668,37.4117392,-121.9950715
169631518,2,10,37.4120643,-121.9952080,27,9.14,0.2,239,150,295,914,3,-682,37.4117392,-121.9950715
169731652,2,10,37.4120725,-121.9952081,27,9.13,359.7,239,150,296,913,-4,-682,37.4117392,-121.9950715
169832780,2,10,37.4120808,-121.9952081,28,9.30,359.8,239,150,296,930,-2,-669,37.4117392,-121.9950715
169932972,2,10,37.4120893,-121.9952082,29,9.38,0.0,239,151,296,938,0,-662,37.4117392,-121.9950715
170033250,2,10,37.4120976,-121.9952083,29,9.11,359.2,239,151,296,911,-12,-680,37.4117392,-121.9950715
170113312,2,10,37.4120976,-121.9952083,29,9.11,359.2,239,151,296,911,-12,-680,37.4117392,-121.9950715
170133999,2,10,37.4121056,-121.9952085,30,8.70,359.6,239,151,297,870,-5,-710,37.4117392,-121.9950715
170234455,2,10,37.4121131,-121.9952086,31,8.00,359.7,239,151,297,800,-4,-755,37.4117392,-121.9950715
170335181,2,10,37.4121200,-121.9952087,32,7.41,359.8,239,151,297,741,-1,-787,37.4117392,-121.9950715
170435705,2,10,37.4121265,-121.9952088,33,7.15,359.2,239,151,298,715,-9,-802,37.4117392,-121.9950715
170516062,2,10,37.4121329,-121.9952089,34,6.99,0.0,239,151,298,699,0,-811,37.4117392,-121.9950715
170636341,2,10,37.4121392,-121.9952090,34,7.22,358.8,239,151,299,722,-14,-785,37.4117392,-121.9950715
170716837,2,10,37.4121457,-121.9952092,35,7.45,359.4,239,152,299,745,-7,-752,37.4117392,-121.9950715
170817437,2,10,37.4121527,-121.9952093,36,8.09,359.6,239,152,300,809,-4,-706,37.4117392,-121.9950715
170918764,2,10,37.4121603,-121.9952093,37,8.77,0.8,239,152,300,877,12,-641,37.4117392,-121.9950715
171020148,2,10,37.4121684,-121.9952092,37,9.28,0.7,239,152,301,928,11,-571,37.4117392,-121.9950715
171120887,2,10,37.4121771,-121.9952090,37,9.91,1.3,239,152,301,990,24,-512,37.4117392,-121.9950715
171220278,2,10,37.4121860,-121.9952090,38,9.99,0.3,239,152,301,999,6,-469,37.4117392,-121.9950715
171321045,2,10,37.4121952,-121.9952089,38,10.20,0.3,239,152,302,1020,5,-448,37.4117392,-121.9950715
171421605,2,10,37.4122044,-121.9952090,39,10.27,0.1,239,152,302,1027,3,-437,37.4117392,-121.9950715
