t_ms,msp,motor,servo0,servo1,gyro_p,gyro_q,gyro_r,acc_x,acc_y,acc_z,qw,qx,qy,qz,pos_n,pos_e,pos_d,vel_n,vel_e,vel_d,tgtpos_n,tgtpos_e,tgtpos_d,rcData0,rcData1,rcData2,rcData3
183742.3550,3.0000,1691.0000,1445.0000,1513.0000,7.0000,8.0000,1.0000,393.0000,-499.0000,1852.0000,0.1920,-0.1286,-0.0637,0.9708,171.2600,-36.9500,-92.0800,-18.5000,-3.8300,4.0400,0.0000,0.0000,-0.0000,1500.0000,1498.0000,1500.0000,1708.0000
183758.9840,3.0000,1691.0000,1450.0000,1516.0000,13.0000,5.0000,6.0000,409.0000,-612.0000,1688.0000,0.1915,-0.1292,-0.0620,0.9710,170.8200,-37.0100,-92.0100,-18.6600,-3.8100,4.0700,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1708.0000
183775.6670,3.0000,1690.0000,1454.0000,1518.0000,18.0000,3.0000,10.0000,405.0000,-569.0000,1551.0000,0.1906,-0.1292,-0.0594,0.9713,170.3900,-37.0700,-91.9500,-18.7900,-3.7900,4.1000,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1707.0000
183792.2120,3.0000,1690.0000,1456.0000,1520.0000,22.0000,3.0000,14.0000,391.0000,-479.0000,1584.0000,0.1891,-0.1291,-0.0569,0.9718,169.9600,-37.1300,-91.8800,-18.9000,-3.7700,4.1400,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1707.0000
183809.0590,3.0000,1690.0000,1454.0000,1518.0000,18.0000,2.0000,17.0000,353.0000,-476.0000,1459.0000,0.1873,-0.1286,-0.0542,0.9723,169.9600,-37.1300,-91.8800,-18.9000,-3.7700,4.1400,0.0000,0.0000,-0.0000,1500.0000,1498.0000,1500.0000,1707.0000
183825.5380,3.0000,1690.0000,1454.0000,1518.0000,18.0000,2.0000,18.0000,400.0000,-558.0000,1470.0000,0.1851,-0.1285,-0.0520,0.9729,169.5500,-37.1800,-91.8200,-18.9900,-3.7500,4.1900,0.0000,0.0000,-0.0000,1500.0000,1498.0000,1500.0000,1707.0000
183842.1750,3.0000,1690.0000,1454.0000,1518.0000,17.0000,2.0000,20.0000,324.0000,-284.0000,1427.0000,0.1827,-0.1287,-0.0492,0.9735,169.1200,-37.2400,-91.7500,-19.0900,-3.7400,4.2400,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1708.0000
183858.9690,3.0000,1691.0000,1454.0000,1518.0000,18.0000,3.0000,18.0000,327.0000,-208.0000,1414.0000,0.1804,-0.1291,-0.0468,0.9740,168.6700,-37.3000,-91.6800,-19.2200,-3.7200,4.3000,0.0000,0.0000,-0.0000,1500.0000,1498.0000,1500.0000,1708.0000
183875.9530,3.0000,1691.0000,1454.0000,1520.0000,18.0000,3.0000,16.0000,294.0000,-124.0000,1376.0000,0.1783,-0.1294,-0.0446,0.9744,168.2300,-37.3500,-91.6100,-19.3400,-3.6800,4.3600,0.0000,0.0000,-0.0000,1500.0000,1498.0000,1500.0000,1708.0000
183892.6620,3.0000,1689.0000,1453.0000,1519.0000,16.0000,2.0000,13.0000,297.0000,36.0000,1458.0000,0.1767,-0.1295,-0.0422,0.9748,167.8000,-37.4100,-91.5400,-19.4300,-3.6400,4.4200,0.0000,0.0000,-0.0000,1498.0000,1497.0000,1500.0000,1706.0000
183909.7620,3.0000,1691.0000,1452.0000,1516.0000,13.0000,3.0000,9.0000,294.0000,-31.0000,1521.0000,0.1754,-0.1296,-0.0404,0.9751,167.8000,-37.4100,-91.5400,-19.4300,-3.6400,4.4200,0.0000,0.0000,-0.0000,1500.0000,1498.0000,1500.0000,1710.0000
183926.3410,3.0000,1693.0000,1451.0000,1515.0000,11.0000,3.0000,5.0000,218.0000,48.0000,1723.0000,0.1746,-0.1300,-0.0387,0.9753,167.3600,-37.4600,-91.4600,-19.5500,-3.6000,4.4800,0.0000,0.0000,-0.0000,1500.0000,1498.0000,1500.0000,1710.0000
183942.8620,3.0000,1693.0000,1449.0000,1513.0000,8.0000,2.0000,0.0000,277.0000,-88.0000,1838.0000,0.1744,-0.1302,-0.0382,0.9753,166.9000,-37.5200,-91.3900,-19.6800,-3.5700,4.5100,0.0000,0.0000,-0.0000,1500.0000,1498.0000,1500.0000,1710.0000
183959.5830,3.0000,1691.0000,1447.0000,1513.0000,3.0000,3.0000,-6.0000,312.0000,-176.0000,1735.0000,0.1750,-0.1303,-0.0375,0.9752,166.4400,-37.5800,-91.3200,-19.7900,-3.5500,4.5300,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1708.0000
183976.0540,3.0000,1691.0000,1448.0000,1512.0000,3.0000,2.0000,-10.0000,310.0000,-95.0000,1604.0000,0.1763,-0.1301,-0.0372,0.9750,166.0000,-37.6300,-91.2400,-19.8800,-3.5300,4.5700,0.0000,0.0000,-0.0000,1500.0000,1498.0000,1500.0000,1708.0000
