t_ms,msp,motor,servo0,servo1,gyro_p,gyro_q,gyro_r,acc_x,acc_y,acc_z,qw,qx,qy,qz,pos_n,pos_e,pos_d,vel_n,vel_e,vel_d,tgtpos_n,tgtpos_e,tgtpos_d,rcData0,rcData1,rcData2,rcData3
217036.6090,3.0000,1507.0000,1471.0000,1531.0000,22.0000,3.0000,9.0000,511.0000,-366.0000,951.0000,-0.0265,0.1609,-0.1270,0.9784,139.4900,-22.3100,-79.9900,-15.7900,4.7800,-4.9900,0.0000,0.0000,-0.0000,1500.0000,1498.0000,1500.0000,1534.0000
217053.3210,3.0000,1507.0000,1470.0000,1530.0000,20.0000,3.0000,13.0000,465.0000,-402.0000,845.0000,-0.0284,0.1603,-0.1244,0.9788,139.4900,-22.3100,-79.9900,-15.7900,4.7800,-4.9900,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1534.0000
217070.0730,3.0000,1508.0000,1470.0000,1530.0000,17.0000,4.0000,17.0000,522.0000,-442.0000,856.0000,-0.0309,0.1594,-0.1223,0.9791,139.1900,-22.2000,-80.0800,-15.8000,4.7700,-4.8900,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1535.0000
217087.0060,3.0000,1506.0000,1469.0000,1529.0000,15.0000,3.0000,19.0000,471.0000,-347.0000,1014.0000,-0.0338,0.1587,-0.1206,0.9793,138.8900,-22.1000,-80.1600,-15.8200,4.7600,-4.8000,0.0000,0.0000,-0.0000,1500.0000,1498.0000,1500.0000,1532.0000
217103.6820,3.0000,1506.0000,1468.0000,1528.0000,13.0000,3.0000,20.0000,445.0000,-377.0000,1309.0000,-0.0369,0.1581,-0.1195,0.9795,138.5800,-21.9900,-80.2400,-15.8300,4.7600,-4.7100,0.0000,0.0000,-0.0000,1500.0000,1498.0000,1500.0000,1534.0000
217120.4130,3.0000,1507.0000,1469.0000,1529.0000,13.0000,2.0000,21.0000,532.0000,-360.0000,1603.0000,-0.0401,0.1574,-0.1187,0.9796,138.2700,-21.8800,-80.3200,-15.8400,4.7800,-4.6500,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1534.0000
217136.9050,3.0000,1507.0000,1471.0000,1529.0000,18.0000,2.0000,22.0000,536.0000,-383.0000,1935.0000,-0.0434,0.1568,-0.1176,0.9797,137.9600,-21.7700,-80.4000,-15.8400,4.8000,-4.6300,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1534.0000
217153.5970,3.0000,1506.0000,1475.0000,1533.0000,23.0000,0.0000,26.0000,550.0000,-490.0000,2376.0000,-0.0472,0.1559,-0.1153,0.9799,137.9600,-21.7700,-80.4000,-15.8400,4.8000,-4.6300,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1533.0000
217170.4660,3.0000,1506.0000,1476.0000,1534.0000,25.0000,1.0000,31.0000,579.0000,-603.0000,2577.0000,-0.0519,0.1552,-0.1125,0.9801,137.6600,-21.6600,-80.4800,-15.8200,4.8200,-4.6500,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1534.0000
217187.4390,3.0000,1507.0000,1476.0000,1534.0000,24.0000,0.0000,36.0000,523.0000,-521.0000,2407.0000,-0.0573,0.1544,-0.1096,0.9802,137.3700,-21.5600,-80.5600,-15.7900,4.8300,-4.7000,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1534.0000
217204.2300,3.0000,1507.0000,1477.0000,1531.0000,22.0000,-3.0000,38.0000,548.0000,-454.0000,2259.0000,-0.0630,0.1540,-0.1071,0.9802,137.0600,-21.4400,-80.6400,-15.7700,4.8400,-4.7500,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1534.0000
217221.1130,3.0000,1506.0000,1476.0000,1528.0000,19.0000,-5.0000,38.0000,572.0000,-403.0000,2107.0000,-0.0687,0.1537,-0.1048,0.9801,136.7500,-21.3300,-80.7200,-15.7600,4.8500,-4.7800,0.0000,0.0000,-0.0000,1498.0000,1500.0000,1500.0000,1533.0000
217237.8710,3.0000,1507.0000,1474.0000,1526.0000,16.0000,-5.0000,35.0000,549.0000,-232.0000,1987.0000,-0.0744,0.1537,-0.1033,0.9799,136.4400,-21.2200,-80.8100,-15.7500,4.8700,-4.7800,0.0000,0.0000,-0.0000,1500.0000,1498.0000,1500.0000,1534.0000
217254.4850,3.0000,1507.0000,1476.0000,1526.0000,15.0000,-7.0000,36.0000,516.0000,-154.0000,1904.0000,-0.0798,0.1538,-0.1018,0.9796,136.4400,-21.2200,-80.8100,-15.7500,4.8700,-4.7800,0.0000,0.0000,-0.0000,1500.0000,1498.0000,1500.0000,1534.0000
217271.1680,3.0000,1506.0000,1476.0000,1524.0000,13.0000,-8.0000,31.0000,551.0000,-174.0000,1951.0000,-0.0848,0.1543,-0.1006,0.9792,136.1400,-21.1100,-80.8900,-15.7300,4.9000,-4.7800,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1533.0000
217287.9350,3.0000,1507.0000,1476.0000,1524.0000,12.0000,-7.0000,26.0000,539.0000,-165.0000,1841.0000,-0.0891,0.1550,-0.0996,0.9788,135.8500,-21.0100,-80.9700,-15.7100,4.9200,-4.7700,0.0000,0.0000,-0.0000,1500.0000,1498.0000,1500.0000,1534.0000
