t_ms,msp,motor,servo0,servo1,gyro_p,gyro_q,gyro_r,acc_x,acc_y,acc_z,qw,qx,qy,qz,pos_n,pos_e,pos_d,vel_n,vel_e,vel_d,tgtpos_n,tgtpos_e,tgtpos_d,rcData0,rcData1,rcData2,rcData3
193783.8030,3.0000,1604.0000,1500.0000,1500.0000,3.0000,26.0000,-26.0000,-179.0000,-35.0000,1626.0000,0.1844,0.1483,0.2359,-0.9425,122.6400,-52.3100,-85.9700,-23.3500,13.4000,5.0600,0.0000,0.0000,-0.0000,1500.0000,1498.0000,1500.0000,1626.0000
193800.3630,3.0000,1606.0000,1500.0000,1500.0000,-11.0000,30.0000,-27.0000,-224.0000,50.0000,1455.0000,0.1800,0.1510,0.2378,-0.9425,122.1400,-51.9900,-85.8900,-23.3100,13.5200,5.1100,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1628.0000
193816.9560,3.0000,1607.0000,1500.0000,1500.0000,-21.0000,32.0000,-32.0000,-156.0000,139.0000,658.0000,0.1753,0.1538,0.2416,-0.9419,121.6600,-51.6700,-85.8100,-23.2500,13.6400,5.1800,0.0000,0.0000,-0.0000,1500.0000,1498.0000,1500.0000,1630.0000
193833.6560,3.0000,1606.0000,1500.0000,1500.0000,-22.0000,32.0000,-33.0000,-212.0000,-6.0000,155.0000,0.1702,0.1566,0.2461,-0.9412,121.1800,-51.3600,-85.7300,-23.1700,13.7000,5.3100,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1628.0000
193850.4740,3.0000,1606.0000,1500.0000,1500.0000,-22.0000,34.0000,-30.0000,-236.0000,-328.0000,83.0000,0.1653,0.1594,0.2508,-0.9404,120.7100,-51.0500,-85.6400,-23.0700,13.7200,5.4800,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1628.0000
193866.9740,3.0000,1606.0000,1500.0000,1500.0000,-33.0000,36.0000,-23.0000,-232.0000,-382.0000,480.0000,0.1612,0.1624,0.2558,-0.9392,120.7100,-51.0500,-85.6400,-23.0700,13.7200,5.4800,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1628.0000
193883.6030,3.0000,1606.0000,1500.0000,1500.0000,-44.0000,37.0000,-17.0000,-177.0000,-293.0000,1246.0000,0.1582,0.1658,0.2623,-0.9374,120.2600,-50.7500,-85.5500,-22.9900,13.7200,5.6100,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1628.0000
193900.2960,3.0000,1606.0000,1500.0000,1500.0000,-47.0000,36.0000,-9.0000,-101.0000,-459.0000,1764.0000,0.1563,0.1692,0.2698,-0.9350,119.7700,-50.4200,-85.4600,-22.9700,13.8000,5.6800,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1628.0000
193916.7920,3.0000,1606.0000,1500.0000,1500.0000,-46.0000,39.0000,-4.0000,-135.0000,-469.0000,1696.0000,0.1553,0.1728,0.2772,-0.9323,119.2900,-50.1000,-85.3600,-22.9600,13.9000,5.7100,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1628.0000
193933.4200,3.0000,1606.0000,1500.0000,1500.0000,-43.0000,36.0000,0.0000,-249.0000,-255.0000,1124.0000,0.1547,0.1768,0.2840,-0.9296,118.8200,-49.7800,-85.2700,-22.9300,13.9900,5.7500,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1628.0000
193950.1830,3.0000,1606.0000,1500.0000,1500.0000,-43.0000,34.0000,6.0000,-194.0000,-418.0000,494.0000,0.1548,0.1807,0.2907,-0.9268,118.8200,-49.7800,-85.2700,-22.9300,13.9900,5.7500,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1628.0000
193966.8040,3.0000,1606.0000,1500.0000,1500.0000,-44.0000,30.0000,17.0000,-144.0000,-600.0000,447.0000,0.1563,0.1844,0.2969,-0.9238,118.3700,-49.4800,-85.1700,-22.8800,14.0300,5.8500,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1628.0000
193983.4640,3.0000,1606.0000,1500.0000,1500.0000,-47.0000,26.0000,31.0000,-161.0000,-687.0000,778.0000,0.1598,0.1881,0.3031,-0.9205,117.9300,-49.1800,-85.0700,-22.8200,14.0200,5.9600,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1628.0000
194000.4030,3.0000,1604.0000,1500.0000,1500.0000,-58.0000,25.0000,40.0000,-131.0000,-489.0000,1056.0000,0.1651,0.1919,0.3098,-0.9165,117.4400,-48.8500,-84.9700,-22.8200,14.0600,6.0500,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1626.0000
194016.9960,3.0000,1604.0000,1500.0000,1500.0000,-67.0000,22.0000,46.0000,-147.0000,-275.0000,1082.0000,0.1716,0.1953,0.3176,-0.9119,116.9700,-48.5300,-84.8700,-22.8100,14.1200,6.1200,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1626.0000
194033.6160,3.0000,1606.0000,1500.0000,1500.0000,-68.0000,21.0000,48.0000,-180.0000,-168.0000,986.0000,0.1788,0.1985,0.3258,-0.9069,116.5100,-48.2100,-84.7600,-22.7800,14.1900,6.2100,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1628.0000
194050.2580,3.0000,1606.0000,1500.0000,1500.0000,-65.0000,20.0000,48.0000,-239.0000,-3.0000,858.0000,0.1862,0.2016,0.3337,-0.9018,116.5100,-48.2100,-84.7600,-22.7800,14.1900,6.2100,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1628.0000
