t_ms,msp,motor,servo0,servo1,gyro_p,gyro_q,gyro_r,acc_x,acc_y,acc_z,qw,qx,qy,qz,pos_n,pos_e,pos_d,vel_n,vel_e,vel_d,tgtpos_n,tgtpos_e,tgtpos_d,rcData0,rcData1,rcData2,rcData3
167554.9430,3.0000,1693.0000,1500.0000,1500.0000,-21.0000,27.0000,-18.0000,132.0000,-140.0000,67.0000,0.1455,-0.2768,-0.2769,0.9086,159.9000,-73.6800,-111.3500,-22.9100,-2.7500,6.1300,0.0000,0.0000,-0.0000,1500.0000,1498.0000,1500.0000,1710.0000
167571.5350,3.0000,1693.0000,1500.0000,1500.0000,-19.0000,27.0000,-15.0000,52.0000,-268.0000,-25.0000,0.1475,-0.2796,-0.2791,0.9067,159.4300,-73.7200,-111.2700,-22.9100,-2.7300,6.2800,0.0000,0.0000,-0.0000,1500.0000,1498.0000,1500.0000,1710.0000
167588.0920,3.0000,1690.0000,1500.0000,1500.0000,-20.0000,26.0000,-12.0000,-8.0000,-309.0000,-16.0000,0.1492,-0.2823,-0.2803,0.9052,158.9800,-73.7600,-111.1800,-22.8900,-2.7300,6.4400,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1707.0000
167604.7220,3.0000,1693.0000,1500.0000,1500.0000,-20.0000,25.0000,-6.0000,-25.0000,-396.0000,177.0000,0.1501,-0.2853,-0.2820,0.9037,158.9800,-73.7600,-111.1800,-22.8900,-2.7300,6.4400,0.0000,0.0000,-0.0000,1498.0000,1500.0000,1500.0000,1710.0000
167621.2170,3.0000,1693.0000,1500.0000,1500.0000,-3.0000,24.0000,2.0000,-18.0000,-487.0000,206.0000,0.1504,-0.2883,-0.2827,0.9024,158.5400,-73.8000,-111.0900,-22.8700,-2.7200,6.5700,0.0000,0.0000,-0.0000,1500.0000,1498.0000,1500.0000,1710.0000
167637.8930,3.0000,1693.0000,1500.0000,1500.0000,-2.0000,22.0000,8.0000,122.0000,-521.0000,8.0000,0.1501,-0.2910,-0.2816,0.9019,158.1000,-73.8400,-111.0000,-22.8500,-2.7100,6.6900,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1710.0000
167654.4500,3.0000,1693.0000,1500.0000,1500.0000,3.0000,20.0000,14.0000,166.0000,-464.0000,-40.0000,0.1492,-0.2934,-0.2799,0.9018,157.6800,-73.8700,-110.9100,-22.8100,-2.7200,6.8300,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1710.0000
167671.0710,3.0000,1689.0000,1500.0000,1500.0000,2.0000,18.0000,21.0000,146.0000,-522.0000,187.0000,0.1476,-0.2957,-0.2780,0.9019,157.2600,-73.9100,-110.8200,-22.7700,-2.7300,6.9800,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1706.0000
167687.7130,3.0000,1691.0000,1500.0000,1500.0000,2.0000,18.0000,27.0000,80.0000,-412.0000,384.0000,0.1450,-0.2983,-0.2764,0.9020,157.2600,-73.9100,-110.8200,-22.7700,-2.7300,6.9800,0.0000,0.0000,-0.0000,1500.0000,1498.0000,1500.0000,1710.0000
167704.2810,3.0000,1693.0000,1500.0000,1500.0000,2.0000,16.0000,30.0000,22.0000,-319.0000,371.0000,0.1417,-0.3012,-0.2748,0.9021,156.8600,-73.9500,-110.7200,-22.7400,-2.7300,7.0900,0.0000,0.0000,-0.0000,1500.0000,1498.0000,1500.0000,1710.0000
