note,ph_area,ph_bg,ph_cx,ph_cy,ph_frame_mean,ph_peak,ph_sat,ph_total,range_m,tr_cep50,tr_first_lock,tr_measured,tr_present,tr_q50,tr_ticks
8ft4in,19,0.0,357.5343725019984,235.07434052757793,0.0048412109375,255,1,2502.0,2.54,0.29,0.6,90.9090909090909,93.6026936026936,1.0,297
15ft10in,18,0.0,355.72185114503816,206.4293893129771,0.0022640625,230,0,2096.0,4.826,0.48,0.3,13.422818791946309,66.44295302013423,0.46,298
26ft9in,16,0.0,357.84276729559747,194.6823899371069,0.000553515625,46,0,318.0,8.153,0.21,0.65,71.47651006711409,93.6241610738255,1.0,298
38ft,8,0.0,358.0691823899371,188.42348008385744,0.000329296875,130,0,477.0,11.582,0.18,0.75,80.20134228187919,91.2751677852349,1.0,298
54ft9in,256000,2.0,319.76592358471447,199.64070529823914,3.5228294921875,93,0,5892486.0,16.688,0.27,0.55,95.95959595959596,96.29629629629629,1.0,297
54ft9in-rephoto,8,2.0,357.2793176972281,184.7185501066098,3.5338337890625,96,0,469.0,16.688,0.27,0.5,95.62289562289563,96.63299663299664,1.0,297
14ft11in-RETRY,14,2.0,358.1249256395003,209.1743010113028,3.4822796875,190,0,1681.0,4.546,0.21,0.45,96.63299663299664,96.96969696969697,0.99,297
